书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
设计思维：整合创新、用户体验与品牌价值,托马斯·洛克伍德,专业技术_工具书,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1p7X6Uharx1iYp6L4qVIeKQ
新闻业的救赎,彭增军,专业技术_工具书,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1CvVwQYm0AJ3WCDIJAo7X1Q&shfl=sharepset
质量总监成长记,秦邦福,专业技术_工具书,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1sROLzIFtH03u5EndHQks5g&shfl=sharepset
古典音乐说明书,饭尾洋一,专业技术_工具书,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/11IqMhE_dcNQGPTD88K34vQ
圆之吻：有趣的尺规作图,莫海亮,专业技术_工具书,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1amiPlLhiQrHFCMPkhCsr3Q
绝对笑喷之弃业医生日志,亚当·凯,专业技术_工具书,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1PiPbilFjcpJBk2bhSk9agw
Excel教科书,吉田拳,专业技术_工具书,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1BC1RaUyKEE4UuAc-qGGIbA
从零开始学做采购经理,滕宝红,专业技术_工具书,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Gw8e_QY4smyVypWZivIGhg
如何专业做采购,宫迅伟,专业技术_工具书,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1f671uzwR55RLb_ZUEL3aag
每个人的战争：抵御癌症的有效生活方式,大卫•塞尔旺-施莱伯,专业技术_工具书,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1gWS6IRuUK-iHN_KwxnHsfw
小艾上班记：真账实操教你学会会计,陈艳红,专业技术_工具书,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1DKwwPIPRQlK9U12wPFHEFQ
超级记忆：破解记忆宫殿的秘密,石伟华,专业技术_工具书,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1eDMnLTnDjcn5RRNVPJ5FVg
大国的较量：中美知识产权谈判纪实,吴海民,专业技术_工具书,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bX8Vs6
写出我心：普通人如何通过写作表达自己,娜塔莉·戈德堡,专业技术_工具书,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1dK2605Rc-47Z-GRnd-Qckw
吉米独家造型秘籍：吉米造型,吉米,专业技术_工具书,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1b2rE0I
