书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
暮色将至：伟大作家的最后时刻,凯蒂·洛芙,人物传记,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/14Z-3sQ5aorlHNNZG1VLudQ
伊丽莎白女王与埃塞克斯伯爵,利顿·斯特雷奇,人物传记,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/13_s2kLd_X4nazhfiu0XFiQ
街角的奇迹,肯尼迪·欧戴德,人物传记,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1KKnPv8FGddDNCaoWVz6XIg
骗局之王：查尔斯·庞兹自传,查尔斯·庞兹,人物传记,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1L_-2UiXb1IxSUIBi84Nzdw
索罗斯传,罗伯特·斯莱特,人物传记,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1kZ3eK6FFtO7IS3nshrauYQ
三十年细说从头,李翰祥,人物传记,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1fbVpJc_xDXUQQyl_5ffDUA
静水流深：何享健的千亿历程,黄治国,人物传记,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1kI8caV4ydvmIFuNVawQEiQ
你当像鸟飞往你的山,塔拉·韦斯特弗,人物传记,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1yHi7A5sO0MP2MzWpy-cNiw
赫鲁晓夫回忆录（全三卷）,尼基塔.谢.赫鲁晓夫,人物传记,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1hcKAp7uOAxB2o11FRkS7sA
永久记录,爱德华·斯诺登,人物传记,4.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1HlIvgiIh8EM73RZQKbPRgw
眼睛游戏,埃利亚斯·卡内蒂,人物传记,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1xg7KdCO0p92bxPyYfi5NPw
耳中火炬,埃利亚斯·卡内蒂,人物传记,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/192dOMu28RMuQ02MoxvQkAg
吾家小史,余秋雨,人物传记,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1cKRpL5eF5CRfueh3eG8PUA
任正非：除了胜利，我们已无路可走,周显亮,人物传记,6,百度网盘(提取码:6666),https://pan.baidu.com/s/1V-OksVPi7P1I8d9wH2Uv2A
撒切尔夫人：权力与魅力,乔纳森•艾特肯,人物传记,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1JAc-fYnpt3za2pMac666lw
刘邦传,史杰鹏,人物传记,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1uPHE9kAzA9OUOK3jalU6WA
阿米尔·汗：我行我素,克里斯蒂娜·丹尼尔斯,人物传记,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1qABockIZKbsa9TPHEfr-_g&shfl=sharepset
影响人类历史进程的100名人排行榜,麦克•哈特,人物传记,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1PPJ7cP7Gqf3TxfdY5f15ww
非常年代：罗斯福夫妇在二战岁月中,多莉丝·基恩斯·古德温,人物传记,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1qRfLxRwa7u2O37U0-KZ--A
我也是鲁迅的遗物：朱安传,乔丽华,人物传记,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1GzbnkBAm2U0nWK0MiVvA2A
通往权力之路：叶卡捷琳娜大帝,罗伯特·K.迈锡,人物传记,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1eej_OMAralWdAgwOmVAMQg
我身在历史何处,埃米尔·库斯图里卡,人物传记,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1bM6aKXwpzlRB5Ge9lOYP-A
飞得更高：孙正义传,井上笃夫,人物传记,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1Cyl1Cosl0lDcQoRIS5AFNw
曾国藩大传,林乾,人物传记,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1PmpS8YyHszF6dMerhdgvkg
特斯拉传：实现不可能,哈米什•麦肯齐,人物传记,7.6,百度网盘(提取码:6666),特斯拉是电动汽车行业的标杆，更被看成一种科技趋势的代表。在产品层面，特斯拉功能完备、设计时尚，深受用户欢迎，发烧友更是遍布全球。商业模式方面，埃隆·马斯克突破传统销售体系，打造直营系统，更加贴近用户。营销方面，埃隆·马斯克的个人光环效应以及粉丝的口碑营销，两者相互叠加，实现了一种超越产品之上的强链接、价值认同。凭借这些优势，特斯拉不断实现着各种看似不可能的事情，开启一个新的时代，并直接影响着国内电
任正非传,孙力科,人物传记,5.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1_QOXso6RP9bnuahNblvmJg
最贤的妻，最才的女：杨绛传,夏墨,人物传记,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1eaiVwvl1M6Y7GKIofqKgWA
特蕾莎修女传,陈大道,人物传记,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1282QzI4ysk1WQtg9w-1w0A
遇见一些人，流泪1、2、3,韩梅梅,人物传记,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1SRo1oyp_94H1kJQZrjSCRQ
从北大到新东方的传奇,卢跃刚,人物传记,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1uIS654Zsq2pwZox_S18bKg
网：阿加西自传,安德烈·阿加西,人物传记,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/166Qe9CcbGpTXCdrF0J7ESQ
张忠谋自传(1931-1964),张忠谋,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/50ZtpYV
林徽因传,张清平,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/54owFxY
一个人的西部,雪漠,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/53ibruu
整个巴黎属于我,莱斯利·M.M.布鲁姆,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/53irWrn
墓中回忆录,夏多布里昂,人物传记,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1rKw4yRc7gc2zQVx0Uexe8Q
黄金荣全传,白希,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/5oLKn9Q
我的非正常生活（升级版）,洪晃,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/5WzqA19
命运：文在寅自传,文在寅,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/5jjAVIF
乐队女孩,金·戈登,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/5Jky4Aa
张居正大传,朱东润,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/5trY3FQ
奥巴马回忆录,奥巴马,人物传记,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/15dX7hAwQ1tnXAd46bBuv9Q
吃透曾国藩,谷园,人物传记,1,百度网盘(提取码:6666),https://share.weiyun.com/5guo5zP
与魔鬼作斗争：荷尔德林、克莱斯特、尼采,斯蒂芬·茨威格,人物传记,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1JwfRVmWkAd1biEfFRoRd5A
我这一辈子：老舍自传,老舍,人物传记,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1oTpnnayL91KSDvAi2l5SYg
第一个人,阿尔贝·加缪,人物传记,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1InJryje43BDt9nhwyvGfTA
巴菲特幕后智囊：查理·芒格传,珍妮特•洛尔,人物传记,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1thhLIHUSGUjhxlnwusUueA
重生：苏珊·桑塔格日记与笔记（1947~1963）,苏珊·桑塔格,人物传记,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1PthohvZfw0TlsuEZxcT-CQ
