书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
不要等到毕业以后,张志,励志_职场,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1HuouKGp-5TvqnoM-DM2M0w
天才基本法,长洱,励志_职场,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1-l55h5hUtCjn_PcLTGfutA
一流员工的十大职业素养,吕国荣,励志_职场,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1FT7ddpugaZa6c7FJ4zR85A
细节的力量：51件你必须知道的职场小事,Flanagan裕美子,励志_职场,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/19ofA5c9FSwwXJSYt9n1ypA
让你在公司显得很能干的52种方法,罗斯·麦卡蒙,励志_职场,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1NVEAp5ip4fwvPuMAjgpfNA
好听：如何练就好声音,徐洁,励志_职场,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1f1cBenGxKJAxO0JJpaU3vQ
是谁出的题这么难，到处都是正确答案,邱天,励志_职场,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1P9ZQNwaKdj40BsW00SkUig
你为什么而工作,巴里•施瓦茨,励志_职场,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1AN0mtx5Lw_YIoWFWZBxWAg
三万英尺,闲人有闲,励志_职场,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/131FJiFrt0ksHuYSbpZR1PQ
扛得住，世界就是你的,小川叔,励志_职场,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/13KrH1ljucra65xinHvnc9g
逆光而行,沈南乔,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1pvv3OSLwbXvI0Epj6G0efA
六度人脉,李维文,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1oD3cVdbU_p_7K2gG2BpRIw
未来工作：智能时代的竞争力法则,泰勒· 皮尔逊,励志_职场,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1grzcH0N0fjt_SqCyZKBhXw
你看了，但你没看见,新井直之,励志_职场,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1OJ0meTE_2M8W6FxuGCHf1w
人生只有一次，去做自己喜欢的事,摩西奶奶,励志_职场,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1H3fJfnEiBSSUk498e8bM5A
自慢 : 从员工到总经理的成长笔记,何飞鹏,励志_职场,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1gyuCNTFQBR_b-btL7eLLvg
秘书工作手记：办公室老江湖的职场心法,像玉的石头,励志_职场,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1DuhBMbRlJA-rmF_tMSN2Lw
这一生， 至少当一次傻瓜,石川拓治,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1Uq7AKrV8JpwvdZAAcx2xhQ
生活教会我,埃莉诺·罗斯福,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1AmuyoZ4bdFLTI30LabGAEg
奋斗的正确姿势：8份工作，26项兼职教给我的职业之道,乔恩·阿卡夫,励志_职场,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/13TGcZsszgGrpRf-esSorEA
藏在这世间的美好,鼹鼠的土豆,励志_职场,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1sl_cF72tt8IDbmHOGiyM9Q
《麦肯锡入职培训第一课》《做事的常识》《靠谱》《准备好了吗？开始工作吧！》,大岛祥誉,励志_职场,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1mKs-XZFvCNMFI-LByLLPxA
职得：成为自己故事里的英雄,高琳,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1iQRLJBEhsIFGQrn03gelyA
当机立断,出口治明,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1ssSTDW-t2Xcsx-hcvTE-GQ
在人生拐角处,赵昂,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1uTEJ7A-YCEvxRqBbZM8d-g
不如去闯,李柘远,励志_职场,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1jg3TBA4eZHCGJruZOpi9Vw
做自己的天使投资人：耶鲁芝大双MBA传授打造高端MBA人才的大智慧,陈睿潼,励志_职场,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1b12lW_gIZuLZJ1EfenYAUA
唤醒心中的巨人,安东尼·罗宾,励志_职场,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1i1XiqhgKzB2hQIKiRd2jnA
一生的资本,奥里森.马登,励志_职场,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1qIluX3sdpW2JT_kp04JlxQ
工作只需20年,施志广,励志_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/14CTEGUOblPzXOHUSfdFfKg
我不过低配的人生,雾满拦江,励志_职场,7,百度网盘(提取码:6666),https://pan.baidu.com/s/17hLXLo11l_KsaD_gfCkw4A
读大学，究竟读什么,覃彪喜,励志_职场,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1eTKiVJgcniUHiiRW56OlVQ
永不止步,力克·胡哲,励志_职场,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1T8DXc1mISKTXhyLeOJ06Kg
师兄教你找工作：100场面试,韩速,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFtnD4H
出众：人生进阶的技术,黄铁锋,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8DohU6
人生的真相,刘墉,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eRPy6pc
权力48法则,罗伯特·格林,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cppc8e
生命中最重要的,史蒂芬・柯维,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i51RZal
你自以为的极限，只是别人的起点,特立独行的猫,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKAlayf
30岁前别结婚,陈愉,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSJ6f54
人生不设限,力克·胡哲,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pLwSawF
愿你的青春不负梦想,俞敏洪,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eRWeN2i
努力到无能为力，拼搏到感动自己,沐木,励志_职场,3.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1amHYdD3ib5JTbFbaYHJFVQ
在对的时间做对的事：俞敏洪写给年轻人的8堂创业课,俞敏洪,励志_职场,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1-uVkEj60x-lRBNVhJy1m2Q
人生随时可以重来,摩西奶奶,励志_职场,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Bg6XzHKmHT4v5_a_uE3ytg
余生太短，要和有趣的人在一起,麦子熟了,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVdq74b
努力，才配有未来,小川叔,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jI7Kuyy
"将来的你 ,一定会感谢现在拼命的自己",汤木,励志_职场,4.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1EbFSnH4hWz36tRsF6IOcng
永不放弃自己,汪洋,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c2Id2O4
成功法则,拿破仑・希尔,励志_职场,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1LEvY3-qKTgAoUO0wiWLLpQ
猎头局中局,萧东楼,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7YxNSm
永不堕落,方启沣,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFN1f7z
职场菜鸟升职记,张玎,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i59fNtr
职商,西楼望雪,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVmbgQr
青春的敌人,阿忆,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYTk17e
十羊皮卷,莫里斯·勒尔,励志_职场,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/16wmuVSp4fHwpvykAQmPHGA
欲望之门,李良,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hrROvn2
职场进化论,王振宇,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jI5FRym
职场路线图,汪漪,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYffpJA
格局逆袭：普通人的制胜之道,万能的大熊（宗宁）,励志_职场,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1nM22zMkFIBinPSAeDGpC9w
职场必胜搭配全书,王云,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFkkZWd
做最好的自己,李开复,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1slCSH4L
你的礼仪价值百万3：商务社交篇,周思敏,励志_职场,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1yv7srI5omZYLflS4d4a4ng
向中等姿色的女人致敬,淑鸿,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVmGArX
唐骏凭什么成功,张永生,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i4NIjVf
四英寸,右耳,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYjO5Ta
外滩18号,右耳,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7Gg19C
不认输,宋丽晅 ,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qXWqYVq
一个外企高管的职言,苗俊杰,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kV0Tvcr
责任胜于能力,宿春礼周韶梅,励志_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSurVG2
