书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
了无痕：报人读史礼记五集,田东江,历史,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1fiuhTStG2pdMBDu9w8GQHA
司马懿的崛起：从军师到权臣,潘彦明,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1l9_ioZW5iaobrIdYVgLIkw
曹操：逐鹿天下五十年,司马路,历史,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1g4BykXFZkWFkSoK7D-sEhg
魏特琳日记,明妮・魏特琳,历史,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1X6fhi3acjkWrP8Vkd7k-Yg
骗经,张应俞,历史,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1SZ2ZaaUhj5DkMcVhC8Adug
法国文明史(1) ,基佐,历史,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1qQaF8vNJ8M8y6cSMR15lnQ
熬：极地求生700天,阿尔弗雷德·兰辛,历史,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1HNdGGe8-wEuani5TA0-5Eg
说天国：洪秀全真相,陶短房,历史,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1GFytSQD4AxnC3JZ27rDBOQ
通往柏林之路,约翰·埃里克森,历史,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1aj2hhd0iKp168fDo8z5v3Q
莫斯科战役1941,尼克拉斯·泽特林,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1tH4_qafUfDBFibSbOOE51w
茶叶大盗：改变世界史的中国茶,萨拉·罗斯,历史,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1Aqx5lU6yvfnEiUtjNW1LZw
列宁格勒战役：历史上最惨烈的围城战,戴维·格兰斯,历史,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1yTmIFPQsLQ2wuIt2REcbvQ
史学与红学,唐德刚,历史,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/12hcrPOQOrKHFzBx_aWvSzw
自由的声音：大革命后的法国知识分,米歇尔·维诺克,历史,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1hLtzdEtRsWGJgeTlmCkmXQ
《西游记》与中国古代政治,萨孟武,历史,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1u7C1Xwz3NuoVEVP_40j7FQ
