书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
爱因斯坦的梦,阿兰·莱特曼,外国小说,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1w_JKlv9zwt6xJQgxbXwZ6A
幻世浮生,詹姆斯·M·凯恩,外国小说,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1DsL7MV2EvrbnIriQ6ks2RQ
布罗岱克的报告,菲利普·克洛代尔,外国小说,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1jAUbYJ5EgO9n-FZKdkaxIg
爱尔兰人,查尔斯·勃兰特,外国小说,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1fPiLbriciLCvKTdry41lHg
企鹅课,汤姆`米切尔,外国小说,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1P7XdStsruLFmrEd0EjkZqA
流放的老国王,阿尔诺•盖格尔,外国小说,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1ngZ03InHxIBGGe66fGfXEg
殉教,三岛由纪夫,外国小说,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1cLJPyBCWqcR_-2G8Eh93Zw
天使游戏,卡洛斯·鲁依斯·萨丰,外国小说,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1hqGD_5ktWD37LbFWoYO10w
圣诞忆旧集,杜鲁门·卡坡蒂,外国小说,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1mGFMkodyS9H0so4Cnj4G3w
飞越疯人院,肯·克西,外国小说,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1sbvhs-APA8r6wyHv-h5F1A
穿过欲望之城,莫欣·哈米德,外国小说,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1-NTD6bFGrRn_fNWG9_Iekg
五号屠场,库尔特·冯内古特,外国小说,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1YnjUgOQxBXTgVfm_kJxvHg
白城恶魔,埃里克·拉森,外国小说,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1JS5yE0ZkDkYztZ2WqIdRiw
钓鱼的男孩,奇戈希·奥比奥玛,外国小说,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1z7GRB3ijQO3dRaPJByVDZg
流沙刑,莫琳·派森·吉莉特,外国小说,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1QuyVLkZd1VVsyZEKLLG54Q
