书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
看不见的爱,埃里克-埃马纽埃尔·施米特,外国文学,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1TVJmD-9XMnCOguiZ3Jm6oQ
乡村医生,卡夫卡,外国文学,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1eMOVpa-DXzlhul0Qc7p1MQ
恐妻家,伊坂幸太郎,外国文学,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1fHi-yU-DOw78wWPvHt2Z_w
徒然草·方丈记,吉田兼好,外国文学,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/18dHaPfVwV6ip0IoFuGgbLA
蜜蜂之死,汉妮·明策尔,外国文学,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1sRp-virmUJnFMSk6smAOoQ
在德黑兰读《洛丽塔》：以阅读来记忆,阿扎尔·纳菲西,外国文学,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1L7VVxDoChZQnuL9FpcvGdw
纪德日记 (纪德文集),纪德,外国文学,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1gMsbrrT78_o37655kIz2pg
父亲的失乐园,阿里埃勒·萨巴尔,外国文学,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1HJNRKbkWRcj5DKamK3poew&shfl=sharepset
读懂莎士比亚,杰曼·格里尔,外国文学,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1izIw_d9LO-H7q7LgWD8GnQ&shfl=sharepset
都会中的孤岛,坂口安吾,外国文学,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1yKeBDY2eG7QzP-FhUYNFfQ&shfl=sharepset
成天上树的日子,玛格丽特·杜拉斯,外国文学,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1KuQ678RnOP7PKDHSJP1fIw&shfl=sharepset
无欲的悲歌,彼得·汉德克,外国文学,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1oOsSYs6ZXk5wA2gc4412pA&shfl=sharepset
终止,樱木紫乃,外国文学,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1b2m26vDP9VwYt3BBjWkQdg
长长的回家路,弗雷德里克·巴克曼,外国文学,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1tctGbW183DYBaqdxhY9QqA
深河,远藤周作,外国文学,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1bVpnrOqM7b9M4o9RZAwxVg
亲密关系的重建：如何在相处中做一个成熟的人,大卫·里秋,外国文学,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1zYuDspnOcNnWnkuOnUW09g
让叶兰继续飘扬,治·奥威尔,外国文学,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1zVmfZYFYrmXfCUX0zjtC6A
南方高速,胡利奥·科塔萨尔,外国文学,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1-CCcLh8nULtAuhzypUF6AA
我的美的世界,森茉莉,外国文学,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1MXvXRdItOmIhycQdav7teQ
女勇士,汤亭亭,外国文学,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1br98Tf_zJV7XuJ_0A_jagg
一月物语,平野启一郎,外国文学,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1yLaMBM9o5yDsKoqV7uGuKg
这不是告别,蓝波·罗威,外国文学,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1oW0M7NQFvnYpYQ-lYGUZdA
爱情、疯狂和死亡的故事,]奥拉西奥·基罗加,外国文学,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1HRPPGRAXDeFFzUnD8H8BfQ
幽灵之家,伊莎贝尔·阿连德 ,外国文学,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1pemdzCtLirvlg1FnmaN9Mg
后来的事,夏目漱石,外国文学,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1JwcNT3zXg9gKQeWOL6Zdkg
庸见词典,福楼拜,外国文学,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1jO2-1MApOi3_34X3w2yfXg
盛开的樱花树下,坂口安吾,外国文学,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1APaYOxW6x2xEPin6a2vkBg
勃朗特姐妹：权力的神话,特里·伊格尔顿,外国文学,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1CliLPJyf8vEtnUckTOlLQg
文字世界和非文字世界,卡尔维诺,外国文学,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1D16K-XJZKlPs_RXddgjKoA
尽头的回忆,吉本芭娜娜,外国文学,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1igEW4FsCr3KCv6UAn2zLUA
厨房太平记,谷崎润一郎,外国文学,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1U-nmw4Ok144sMf0E7YK6_g
地狱变,芥川龙之介,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/5ZA4h6E
终身失忆人,卢克·迪特里希,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/5BLFxhD
伊凡诺夫·海鸥,安东·契诃夫 ,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/5nJnvak
山精灵普克,鲁迪亚德·吉卜林,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/5xpwIOx
疾病的隐喻,苏珊·桑塔格,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/559BUFM
往事与随想,赫尔岑,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/5I3E5qP
海边理发店,荻原浩,外国文学,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1mF3y7tbo_ELj89FvfZ6gIQ
丈量世界的孩子,梅坦•阿尔迪蒂,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/5aoU4xJ
只有你听到,乙一,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/56KjyDN
红城堡,渡边淳一,外国文学,0,百度网盘(提取码:6666),https://share.weiyun.com/5yhIztu
仁医,渡边淳一,外国文学,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1WTl1DRR7wfueUsx2ofKw-w
撒旦探戈,克拉斯诺霍尔卡伊·拉斯洛,外国文学,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1H0sAb2aw7eZW2UYUOw2ykA
呼叫助产士,珍妮弗·沃斯,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1AuNfpET8rfRL8a8fkQpbhg
小偷家族,是枝裕和,外国文学,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1ug-qbCk4cri6WIrsbqP7bw
房客,萨拉·沃特斯,外国文学,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/14iD7vXqP2ytbReMTjLaopw
卡斯特桥市长,哈代,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/10fhzmZGALsCn92H-K0ygWA
苦炼,玛格丽特·尤瑟纳尔,外国文学,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1qx-a3l2XQUCSDVh6uwZu_Q
夏日终焉,濑户内寂听,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/16S-F3CIxEkHcbDMaI6E5KA
最后一片叶子,欧・亨利,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1ADqPhiGb2eCtQpbfXHuLYA
看不见的人,拉尔夫·艾里森,外国文学,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1agUUIebxWzztkb9gYk1nZg
他们眼望上苍,佐拉·尼尔·赫斯顿,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1YKL7fuov0zJGBCgkjQAwIg
圣诞故事集,查尔斯·狄更斯,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1qfdohJlQbgV3G54EY-Ukpg
公羊的节日,略萨,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/17wwTd0IG9rJiY7_bN6TJJA
时光边缘的男人,马特·海格,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1lAuHjULPKexRdXhhYnmQzg
长路,科马克·麦卡锡,外国文学,7.7,,https://pan.baidu.com/s/12sAd7l8qlOPleDnl4SSOkA
幻世浮生,詹姆斯·M·凯恩,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1kE2gziMtTyuKqaWB0vj0wQ
蜜蜂与远雷,恩田陆,外国文学,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1rR7FBinkdw4_liRbHtGdWA
魔都,村松梢风,外国文学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZqXIWrahFajOgDa2IngxRQ
