书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
大圆满前行,华智仁波切,宗教,9.5,百度网盘(提取码:6666),https://pan.baidu.com/s/15wXiHcHpAz1mQJLW5PFSEQ
佛教的见地与修道,宗萨蒋扬钦哲仁波切,宗教,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1JMNwC-m6GUgPxxmheTcrFA
宾虚：基督故事（上）,卢·华莱士,宗教,8,百度网盘(提取码:6666),https://pan.baidu.com/s/12tM60T0RnQe60uTIwGuYWA
藏传佛教极简史,德昆,宗教,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1Fulo2XY_2IMSInLNeRnaiQ&shfl=sharepset
瑜伽师地论,弥勒,宗教,9.7,百度网盘(提取码:6666),https://pan.baidu.com/s/13szC1ky-oz0V7NJIAVx-7g
忘我的自由,提姆‧凯乐,宗教,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/18Q4xKbGIptdce4rRGR5Qhw
舍得：星云大师的人生经营课,星云大师,宗教,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/13iDVWRM25gEpxv_HUB9U5A
没什么放不下+有什么舍不得,索达吉堪布,宗教,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1nBPku5c5HavYnn9IbCtabQ
印度佛教史,平川彰,宗教,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/15qlyE8G-kZpUxF35OC4N-g
金刚经说什么,南怀瑾,宗教,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1Jei-evsn9eRocBL5FOwPpQ
薄伽梵歌,毗耶娑,宗教,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1AxZGVk_ad-CevCbN_ZeG6A
佛教十三经,鸠摩罗什,宗教,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1FGitQEdx-JIN3j8PPlnj9g
上帝之城,奥古斯丁,宗教,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1aBbTf8rBfmC-Sr0eMGDuzg
走近藏传佛教,王尧,宗教,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1uGCGw7D8zS6_TUEKztc87A
透过佛法看世界：给寻找答案的人,希阿荣博堪布,宗教,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1K-yqR5pFOYCZXWiSyXFOBw
基督教与近代中国教育,李灵,宗教,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1wx-y3FEz_Wp-K7nFTKpjDg
觉悟的生活：星云大师讲《心经》,星云大师,宗教,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1AkoWG7ssRM2xCpBT6t4MEg
人生是苦，苦就是福-,星云大师,宗教,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1wZqXq_9eLBl6112epxQ7bw
行者玄奘1-8部套装(全）,昌如,宗教,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1XYE5tSAxGScZJD9UBG12ww
白话法华经,李利安,宗教,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1abprBWRwd9Nde4YpF7ND-g
基督教思想史（套装全3卷）,保罗·蒂利希,宗教,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1zccuBuupK_UiYM8CxT50hA
金色传奇：中世纪圣徒文学精选,褚潇白,宗教,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1rvdWd27cbB-DDqZRWCLt9w
慕尼黑的清真寺,伊恩·约翰逊,宗教,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1AtPKGY3i9zxUc98UGcxkDg
五灯会元,普济,宗教,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1-jnfzwWFWHuqpY6MejoPog
驱魔人,廉·彼得·布拉蒂,宗教,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1_8DfidGtaxKiMBcD6P0JRA
