书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
在远远的背后带领,安心,家庭_教育,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1i117j8X1ElnXjn_-akKfyw
成长型思维训练,安妮·布洛克,家庭_教育,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1ncaMm9xutZe_dkbIKgIgJQ
写给父母的未来之书：抓住0—7岁关键期培养一生的优势,郝景芳,家庭_教育,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/11y80rBJXIEjhMJmNPC3HNA
反溺爱,罗恩·利伯,家庭_教育,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1Sd9LD36koZXl4SJt2PHc1w
给大壮的信,苗炜,家庭_教育,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1IJB1KKrm-uHk0FTz2jI0mw
美国儿科学会育儿百科,斯蒂文•谢尔弗,家庭_教育,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1rWguAP5fHjg0Fnd8VZaLdg
《讲理》《作文七巧》《作文十九问》《文学种子》,王鼎钧,家庭_教育,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1K-NzkHzc4g3VVUxKq0eJZg
给孩子立界限,钱儿妈（白雁飞）,家庭_教育,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/14qtjg4HjVfa_rF3CMB3iyA
我的事业是父亲,蔡笑晚,家庭_教育,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1GJYVINSp7YYJULiCkOgN2g
第56号教室的奇迹,雷夫•艾斯奎斯,家庭_教育,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1dd4xktZclIkoCOTZTHtkHw
和儿子一起成长1,杨文,家庭_教育,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1TNL9_hzbfEIzsD4IqnUhMw
孩子，把你的手给我,海姆·G.吉诺特,家庭_教育,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1i__itTuDo4mtN9WRWYHk7w
黑色棉花田,蜜尔德瑞・泰勒,家庭_教育,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1dHRKEAipgvRC-VbetWOhOA
班长下台,桂文亚,家庭_教育,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1twjks4KicE_w1pulpyzgJw
把幸福还给孩子,李跃儿,家庭_教育,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1SdLjizq4-MokLr2q6Srynw
园丁与木匠,艾莉森•高普尼克,家庭_教育,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1xzV0asUVEiXdqrvVJDEaLw
不管教的勇气,岸见一郎,家庭_教育,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1aQY-35RJlHW6HvTlcVjOQQ
"静悄悄的革命：课堂改变,学校就会改变",佐藤学,家庭_教育,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1cAB-YBwz-giQyY78k-9fzA
