书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
一瓣河川,雨楼清歌,小说,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Vuxf1eGHA9EHJs1WYBAkog
翅鬼,双雪涛,小说,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1mTvE2ok52zvpDKz64nKweg
大生意人7：结局,赵之羽,小说,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/18c_xZ0tubSxqWhZOe7RKSQ
石榴树上结樱桃,李洱,小说,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/15dp1UkYJAw0msBuMjHceqQ
豆汁记,叶广芩,小说,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/12pYVc7pKNCZZ3iQBwNuOTg
欲望的旗帜,格非,小说,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1ztSfD4aaYyq9KBpk8lSvWA
习惯死亡,张贤亮,小说,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/17KFQMch9-e8AeVRLRis3_Q
一个人的战争,林白,小说,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1baIASu_OQVt4jkA8ERIkeA
黄鸡白酒,迟子建,小说,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1jNKvJWvb0kzribxIzTFEbg
绿旗袍,臧小凡,小说,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1MQLcPoFnqNWKJoyD2PQw-w
鸡毛飞上天（上下册）,何赛阳,小说,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1VaAma4LGTXO3938-YM3Gsw
黑暗地母的礼物（下）,残雪,小说,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1o9HoleaNi3K6RuciCIAPIg
山上有神,王小峰,小说,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1HGrPU_cwNjWfQ2GQrXOavw
会造梦的化石,西西莉亚,小说,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1tpOoV1CQPHTov3s4QNS33A
大泼猴1、2,甲鱼不是龟,小说,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1d_DRjsy542imOmN-cia15Q
我当道士那些年,仐三,小说,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1SDMMUSBA7-wnZWPXN4UTaQ
隐身衣,格非,小说,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1hKqVtm62Ul3pbs_XHQn6JA
小鲍庄,王安忆,小说,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1cyDu46fW2-9jbFXVxiJ4DA
小城之恋,王安忆,小说,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1rrePlohnIs_8rFKf2Cc0Ug
天香（全三册）,梦溪石,小说,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/11PFeynUAqgDkyd2TDQzvVw
透明的红萝卜,莫言,小说,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1iZJTxFRU4BiGhd9SeVP_BQ
锦瑟,priest,小说,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1lsXEN4mYVrRQsMEC9xgLgA
褐色鸟群,格非,小说,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1_oKqadKeJCTMx-FHzroiAg
城北地带,苏童,小说,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1DhvP4O_KD_YHdxeTuthjUg
北方的河,张承志,小说,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Cp0ojoozTtiG91vAAoOilQ
大王饶命,会说话的肘子,小说,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1aXmhs9GeugxN9YIHAOgQjw
黑暗地母的礼物（上下）,残雪,小说,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1GtOr_1c7_IDeGiFfGyzYLg
她是女子，我也是女子,黃碧雲,小说,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1QesSzy7335IbP0ACVIL5ng
脱轨,Priest,小说,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1rQ0OuZBJqVRdzmPyXl6LtA
小二黑结婚,赵树理,小说,7,百度网盘(提取码:6666),https://pan.baidu.com/s/14z9ELoY-LDfT7uYDs5MaoQ
吝啬鬼,莫里哀,小说,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1I7Mra4RtMOP0DFRFBbigxA
篡改的命,东西,小说,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1wP4kd3P_m31espKFumo5Qg
奇葩奇葩处处哀,王蒙,小说,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1DuXvtkV6Hu2uEy6a0Xgocg
伤逝,鲁迅,小说,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1KiJ3mTogf3xrFOW3M7VXpQ
夜深沉,张恨水,小说,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1J9hSHYIBi5LqALLB3wSI7Q
失意者酒馆,曹畅洲,小说,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1E6q23k_GkLEAEr0BInrMgQ
八部半,黄昱宁,小说,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1I7Yu2i1nLlMIE5WmGTQWyg
富萍,王安忆,小说,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1sf2KfvExlCFhl1n-xp2nRQ
出租爸爸,邓燕婷,小说,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1aAFPrJWzNjDZXDdVEPsuvA
上海宝贝,卫慧,小说,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1Olru0i8rC33HH1RUgiN2Sw
秘密调查师1、2、3,永城,小说,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1e53gMR3yLwd_qt-HKiZQQw
敦煌本纪,叶舟,小说,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1i4dXQvxfzYPUFj91sE0L7w
唇典,刘庆,小说,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1DbfWyxWNagR3USnrU8rP8w
北上,徐则臣,小说,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1mZ2oLrjU28ns1KNnPSFfBw
作女,张抗抗,小说,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1mwWbMUX6lL8ZfYGyC_j5og
你想活出怎样的人生,吉野源三郎,小说,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1LlFiTPqnQoVQ9hVy0oRS6A
内在革命：一本关于成长的书,芭芭拉·安吉丽思,小说,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1DJPeWx_By5RpUEf1PhwgKA
写作力,高语罕,小说,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1dw8o8KJQfi5lCfQz15w3GQ
天工开物·栩栩如真,董启章,小说,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1-VncNOg0x5PSE1em3jwwGw
省委班子 （第二部）,许开祯,小说,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/11L5rg78gv9LuOG3FBEJkPA
夏目友人帐,村井贞之,小说,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1wax4x8PpA-ywlwiy-x3F_A
驻马店伤心故事集,郑在欢,小说,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1_ZwJ7PvtB2uxnVqxLRIDWA
我胆小如鼠,余华,小说,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/18M0xrgyVpxqXwMCsZzExNA
