书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
细米,曹文轩,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pLlWmFp
HELLO侦探小子：超级怪男生,阳光慧,少儿,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1pVYucnkGQlHDvmx8r0n3Yg
《猫武士二部曲·新预言》第一季《午夜追踪》,艾琳·亨特,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1mifl86W
《猫武士二部曲·新预言》第五季《黄昏战争》,艾琳·亨特,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jHW2oZk
《猫武士二部曲·新预言》第四季《星光指路》,艾琳·亨特,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5bnYPv
《猫武士二部曲·新预言》第三季《重现家园》,艾琳·亨特,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1mhQs5oW
《猫武士二部曲·新预言》第六季《日落和平》,艾琳·亨特,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nvDF2KL
《猫武士二部曲·新预言》第二季《新月危机》,艾琳·亨特,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1b0U23k
郑渊洁全集,郑渊洁,少儿,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1laLU06rc9K7SeqfrmXP_FA
尼尔斯骑鹅旅行记（全2册）,塞尔玛·拉格洛夫,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jILSUvO
怪医杜利特系列(共12册),休·洛夫廷,少儿,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1AJDchbAtmOPIasxITIrfMQ
外国儿童文学教程,蒋风,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hrPIdFY
魔幻城堡,黛安娜·温尼·琼斯,少儿,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qXQhGk8
尼尔斯骑鹅历险记,拉格洛芙,少儿,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1mR69bcW_nAzX8zsWelNMqA
