书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
人人都能学会的刷屏文案写作技巧,吕白,广告_营销_销售,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1M1c0XJhUprrHluvpn3l1gg
文案的基本修养,东东枪,广告_营销_销售,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1DQhBDpc17jndyac1IU6rQg
帝国与传播,伊尼斯,广告_营销_销售,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1_p9jgmHojkMn5xkQP85jfw
销售铁军,贺学友,广告_营销_销售,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1KrCiu1wPihcLVZ10MpatZQ
分享时代：如何缔造影响力,Bryan Kramer,广告_营销_销售,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1lfTZAHoKUKBxkYmYI1iLTw
不战而胜：以小博大的竞争战略,高建华,广告_营销_销售,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1hvjrrhAWAwbFn0U6F-033Q
解密日本零售业：无印良品式营销+一胜九败+茑屋经营哲学+7-Eleven经营秘籍,增田明子,广告_营销_销售,5.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1RJIqkEzdVX73y5NL8OuCEA
理解媒介：论人的延伸,马歇尔 麦克卢汉,广告_营销_销售,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1jCBPYidYRVTXiK8nyI4FUw
超级符号原理,华杉,广告_营销_销售,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1xZ7-g82MLFz6WVpqLsfdpQ
文案基本功：9大爆款文案创作技巧,苏芯,广告_营销_销售,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Nl7JGGrmpSsy7LvmDR85iA
爆品战略,金错刀,广告_营销_销售,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/11jp8xyp9lJ5PSK4CAazbfQ
推销员之死,阿瑟·米勒,广告_营销_销售,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1a1hNDXDmn7n373pmP9uEtQ
用脑拿订单,孙路弘,广告_营销_销售,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZYYMUCymWlSV4lCfx053Fw
大众传播理论：范式与流派,刘海龙,广告_营销_销售,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1Ff1rdIRDtqL4KQ-7aWYKzg
文案圣经,克劳德•霍普金斯,广告_营销_销售,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1R0KTEcallvXq73TNYP8iYQ
客户说：如何真正为客户创造价值,拉姆·查兰,广告_营销_销售,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Ss7skJaf8h-tzYeYx4d1Xw
全新销售：说服他人，从改变自己开始,丹尼尔•平克,广告_营销_销售,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1hMSIOEA4t0pSivkg64K6YQ
用脑拿订单2.0,孙路弘,广告_营销_销售,0,百度网盘(提取码:6666),https://share.weiyun.com/5NbnoKQ
引爆药店成交率1、2,范月明,广告_营销_销售,0,百度网盘(提取码:6666),https://share.weiyun.com/512ic5O
阿里铁军销售课,李立恒,广告_营销_销售,0,百度网盘(提取码:6666),https://share.weiyun.com/5x1c5Gk
传播理论：起源方法与应用(第5版),沃纳·赛佛林,广告_营销_销售,1,百度网盘(提取码:6666),https://share.weiyun.com/5EvqsqL
传播学教程(第2版),郭庆光,广告_营销_销售,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1WJszotqAHrISI2qsbZJRfw
从1到N：企业如何实现持续高速增长,艾伦·罗斯,广告_营销_销售,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1wX5LHCeCp3it2Ut6yfVYCQ
水平营销,菲利普·科特勒,广告_营销_销售,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1Q5XGOEN521dDyVLzUSgdsQ
爆款：如何打造超级IP,安妮塔•埃尔伯斯,广告_营销_销售,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/17gad_BKj1Z0wqVE1bhWCvQ
首席内容官：解密英特尔全球内容营销,帕姆•狄勒,广告_营销_销售,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1Xl5iBsdZ716c14hqNMO7tg
深度营销：解决方案式销售行动指南,王鉴,广告_营销_销售,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/19COmQbaGZqmeBNGJ-DRGTQ
常青：如何持久吸引客户,诺亚•弗雷明,广告_营销_销售,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1gE3j03k79izYP2nMR3z3VA
新媒体运营从入门到精通,谭贤,广告_营销_销售,3.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1r-KIGt8asMAI9jyhXzQ6Kg
你的顾客需要一个好故事,唐纳德.米勒,广告_营销_销售,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1pMHnIRot-IsrJMHtzgE0lA
弱传播,邹振东,广告_营销_销售,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1cbB4FW008oR_F0i6QWn3pA
情感驱动,拉米拉斯,广告_营销_销售,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1apSATqxN4Wf-T-7HOXkDLg
文案创作完全手册,罗伯特•布莱,广告_营销_销售,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/13BIsn-w0WStcMZLxiS0DIg
IT售前工程师修炼之道,萝卜,广告_营销_销售,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1RihFL3JsTl2uKUu2ikRixw
商战往事：解决方案销售与售前顾问协同打单实录,吴柏臣,广告_营销_销售,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1AedE_CURtPMwh6t7T9hElQ
好文案一句话就够了,川上徹也,广告_营销_销售,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZgqJfWx5uZ-w4fc4InuxaA
刷屏：视频时代的疯传法则,凯文•阿洛卡,广告_营销_销售,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1_jexOV7s0TqjnaB-SEZ0kA
与众不同：极度竞争时代的生存之道,杰克·特劳特,广告_营销_销售,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/122cctwrFMXW716U5IkvAXA
疯传&传染（套装共2册）,乔纳·伯杰,广告_营销_销售,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1FUuQvXlLBWjcSc0USZj4Mw
赢单九问,夏凯,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1XpGlzW-YmAH_xuvaYxrHvw
信任五环：超级销售拜访技巧,夏凯,广告_营销_销售,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1QKCaI1BKWseK2UfSFAaomg
我知道他想看什么：用内容营销打造品牌影响力,沙建军,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/13pUiO8_C_7eneG18iyafJg
消费者行为学,迈克尔·R. 所罗门,广告_营销_销售,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1gKIzhzgP-wSk3oC2jtQdFg
电话销售实战训练(白金版),李智贤,广告_营销_销售,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1WHzDJ5T0jE3LQnsvWJid7Q
迭代：新商业，新媒体与逆袭之路,沈帅波,广告_营销_销售,7,百度网盘(提取码:6666),https://pan.baidu.com/s/17GKbonDpXUuf3uVcFkIxkw
新零售：低价高效的数据赋能之路,刘润,广告_营销_销售,8,百度网盘(提取码:6666),https://pan.baidu.com/s/11oWEEwkyjZkvaG9YTVT8MQ
市场真相：看不见的手与脱缰的马,杰克D.施瓦格,广告_营销_销售,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1MfYqovLPWqn-mijaUVpSKA
品牌魔方：6维度成就冠军品牌-,冯帼英,广告_营销_销售,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1QjWntNl_q2_sLKBiqecxfw
营销：人人都需要的一门课,郑毓煌,广告_营销_销售,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1EufB_3CWK4MLV_Mi2waUrw
抢占心智,江南春,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1Bc6o2M9SBo8P04PtTUOmwQ
顾问式销售团队,陈关聚,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/13LikOc7hs3_33eGCB_taBw
销售的革命,尼尔·雷克汉姆,广告_营销_销售,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/14p2927fgRv9FQfaBI75g3Q
恨着恨着就爱上了：杜子建谬论集,杜子建,广告_营销_销售,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1jgm7b_vOGmQ79gfN_4HwRg
关系力：玩转全民社交时代的人脉销售技巧,蒂姆•邓普顿,广告_营销_销售,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1HyRtVOvGdP3tBiUPRDTRxQ
新媒体文案创作与传播 (互联网+新媒体营销规划丛书,秋叶,广告_营销_销售,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1ELTwtmr_mXL4cgG_x7OEdw
深入浅出数据分析,迈克尔•米尔顿,广告_营销_销售,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Lf12uab12iFm5A8sMREJfQ
