书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
魔鬼与福尔摩斯,戴维·格兰,惊悚_冒险_推理,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1hgsdJm6cHc2j6UCf2P7BfQ
罪案迷城：消失的女高中生,张瑞兴,惊悚_冒险_推理,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1pL7B3GGlKeWCkV4_ewbgKQ
悬崖山庄奇案,阿加莎·克里斯蒂,惊悚_冒险_推理,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1U2-2IvJzqYZKA5_zDTHeow
马耳他之鹰,达希尔·哈米特,惊悚_冒险_推理,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1L5SRY4iW8w6RF3uCrIjBzA
造彩虹的人,东野圭吾,惊悚_冒险_推理,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1Lul0L38oSoaB_IJPHeKhew
浙大夜惊魂+少年股神+资本对决+无证之罪+资本对决,紫金陈,惊悚_冒险_推理,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1MYEuNRgZuM61Bq9uBCf68g
极地苍茫：禁忌之地,中雨,惊悚_冒险_推理,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1f_p2AEu483wijIFcRlXyqA
灰马酒店,阿加莎·克里斯蒂,惊悚_冒险_推理,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1POCyoqfEQmeyFN7eLLBA_w
天使之耳,东野圭吾,惊悚_冒险_推理,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1mtZUXYJ4Kp_5NKf39rcdUg
那时的某人,东野圭吾,惊悚_冒险_推理,6.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Rn5oMYGZ3kDQFnKXlu_0ew
弹弓神警,常书欣,惊悚_冒险_推理,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1hJ9UU_QHl9y9MNDC-M9Ieg
问米,葛亮,惊悚_冒险_推理,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1owxV4FqqlnK2G3JgjRv-sw
阿加莎的毒药,凯瑟琳·哈卡帕,惊悚_冒险_推理,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1yKPkCRpBJlAAAhwXW2SKWg
