书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
历史上的企业家精神：从古代美索不达米亚到现代,戴维•兰德斯,投资_股票_金融_经济,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1AeQ0oHEix_xN7U_NAHPWSg
复盘+：把经验转化为能力（第2版）,邱昭良,投资_股票_金融_经济,6.1,百度网盘(提取码:6666),https://pan.baidu.com/s/17xoo9jGImQxWWNfUtYTWsQ
Crashed：How a Decade of Financial Crises Chan,Adam Tooze,投资_股票_金融_经济,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1TAwpQ31yykt4B4hIt0suTg
走进我的交易室,亚历山大·艾尔德,投资_股票_金融_经济,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1j5QIr3VhNj0931ypP0hbVQ
高频交易员,迈克尔•刘易斯,投资_股票_金融_经济,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1zjkanTW7Brk7a4pUddL5UA
构建量化动量选股系统的实用指南,卫斯理•R.格雷,投资_股票_金融_经济,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1C-J5YtQLwoUuuoFGQasdQw
股市心理博弈,约翰·迈吉,投资_股票_金融_经济,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/13gAmZZzoMDVRO2k0icX2QA
邓普顿教你逆向投资：牛市和熊市都稳赚的长赢投资法,劳伦C•邓普顿,投资_股票_金融_经济,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1vvrGfbKhbPNgJcWB45dIQg
戴维·朗德里波段交易法则,戴维·朗德里,投资_股票_金融_经济,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1hbUSlP6e4DKKN7EY-Nshnw
看懂股市新闻：投资者必读3(第2版) ,袁克成,投资_股票_金融_经济,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1PwjRLdlpQP3sOJ73T-cPow
股权一本通：股权分配+激励+融资+转让实操,全联军,投资_股票_金融_经济,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1RJrMiN_hCcPKTbudSPo6WQ
代谢增长论：技术小波和文明兴衰,陈平,投资_股票_金融_经济,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1klYSx_kZs9L9FP-F8qu4Pw
认识经济,迪恩·卡尔兰,投资_股票_金融_经济,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1apqf8MwNSJfDKF5rixwrGA
