书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
巨塔杀机,,文学奖,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1gFoTE_lDFZJTEvzvRWjS8w
回归之路,迈克尔·维特兹,文学奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1slH3LuP
你在高原,张炜,文学奖,7.8,百度网盘(提取码:6666),http://pan.baidu.com/s/1gfyPn39
东藏记,宗璞,文学奖,8.4,百度网盘(提取码:6666),http://pan.baidu.com/s/1slb4oW1
湖光山色,周大新 ,文学奖,8.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1geVJbH5
钟鼓楼,刘心武,文学奖,8.2,百度网盘(提取码:6666),http://pan.baidu.com/s/1eRAMsH8
长恨歌,王安忆,文学奖,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1u289int1TPT4CqL5-qHE7g
无字,张洁,文学奖,7.5,百度网盘(提取码:6666),http://pan.baidu.com/s/1slh9Vf3
浴血罗霄,萧克,文学奖,6.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1hs7AFS4
许茂和他的女儿们,周克芹,文学奖,7.2,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8H7O06
历史的天空,徐贵祥,文学奖,7.6,百度网盘(提取码:6666),http://pan.baidu.com/s/1slmZ9QP
张居正,熊召政,文学奖,8.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8AMoMu
茶人三部曲,王旭烽,文学奖,8.7,百度网盘(提取码:6666),http://pan.baidu.com/s/1nuC9Tzj
战争和人,王火,文学奖,8.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSK5XK2
少年天子,凌力,文学奖,7.9,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYSZcj6
骚动之秋,刘玉民,文学奖,6.7,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYmvEKc
穆斯林的葬礼,霍达,文学奖,8.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1i59A7dj
蛙,莫言,文学奖,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/16xhDgb5evLLMwAeN5MB8FQ
暗算,麦家,文学奖,7.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8InNB0
英雄時代,柳建伟,文学奖,7.9,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8tltH4
一句顶一万句,刘震云,文学奖,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1_5DaPlXq9W5f59lFQbi08A
天行者,刘醒龙,文学奖,8.1,百度网盘(提取码:6666),http://pan.baidu.com/s/1pLQtpW3
抉择,张平,文学奖,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1joX_J0TZ2iC7UaN6BeR8Ag
金瓯缺,徐兴业,文学奖,8.9,百度网盘(提取码:6666),http://pan.baidu.com/s/1eRB2ssa
将军吟,莫应丰,文学奖,7.5,百度网盘(提取码:6666),http://pan.baidu.com/s/1gfHghOn
秦腔,贾平凹,文学奖,7.8,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYox5M0
黄河东流去,李准,文学奖,7.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8KpCsa
芙蓉镇,古华,文学奖,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1jzYZKybzdIri_hEPO6eCZw
都市风流,孙力、余小惠,文学奖,7.5,百度网盘(提取码:6666),http://pan.baidu.com/s/1eR6cCyI
冬天里的春天,李国文,文学奖,7.4,百度网盘(提取码:6666),http://pan.baidu.com/s/1jH7qvQY
东方,魏巍,文学奖,7.5,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKBPU0F
第二个太阳,刘白羽,文学奖,5.9,百度网盘(提取码:6666),http://pan.baidu.com/s/1gfyjrAr
额尔古纳河右岸,迟子建 ,文学奖,9,百度网盘(提取码:6666),http://pan.baidu.com/s/1b8SKDC
沉重的翅膀,张洁,文学奖,7.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1c2kIw6k
尘埃落定,阿来,文学奖,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1BhBMO-BV2bR4e1VKA-NDGw
推拿,毕飞宇,文学奖,7.9,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVfKy95
白门柳,刘斯奋,文学奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1slFzX3f
李自成,姚雪垠,文学奖,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1EIWBV9tPEhZpsSCsycNL4w
