书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
如何正确吵架：发掘问题、解读渴望、创造幸福的伴侣沟通术,朱迪斯·莱特,沟通_演讲_口才,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/14kipZomEmnNcNp6C1LOloQ
一分钟说话,伊藤羊一,沟通_演讲_口才,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/10V1yIAqeMJ14nJCozQnX6g
好好接话,山口拓朗,沟通_演讲_口才,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1WpEgCB5lyGDActfFmRUr8Q
强势谈判,克里斯·沃斯,沟通_演讲_口才,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Nc2xersS7GHTJ9Kt9jyVuQ
高情商聊天术,张超,沟通_演讲_口才,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Q0JOo1F4jp0ZWTlvRpBFiw
语言的突破,戴尔·卡耐基,沟通_演讲_口才,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/16U4e6nf33bemb1oX7vg_Vg
NLP语言魔方：缔造共赢的高效沟通技巧,袁立君,沟通_演讲_口才,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1wBYqrTFXzTjBO-eYk915Yw
用图秀演讲,丹•罗姆,沟通_演讲_口才,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1uOSoKxsUR_zHo_Wq867Qlw
高效对话,曾杰,沟通_演讲_口才,5.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1A5rRbxiQx39y_bf811mrGQ
精准表达：开口就能说重点,牛津,沟通_演讲_口才,3.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1U3__Fbgiyzi7HmARdhBq9g
如何听如何说,莫提默·J.艾德勒,沟通_演讲_口才,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1cvFQjWb-_QVE9BR5nPzykg
720°全景沟通,马修·麦肯,沟通_演讲_口才,0,百度网盘(提取码:6666),https://pan.baidu.com/s/15zOO4sOql3-3BXWDukDXog
好好说话：跟阿德勒学沟通,小仓广,沟通_演讲_口才,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1M_O3aPmi8XWk6r3goh_SnQ
脱稿讲话与即兴演讲,端木自在,沟通_演讲_口才,5.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1e_mWiJWE8iuiJihr9jo_tw
高难度沟通 : 麻省理工高人气沟通课,贾森•杰伊,沟通_演讲_口才,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1XFvKQY_bp7-vrpI__cE06w
