书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
共赢：成功的秘诀就是忘掉自己的利益，全心全意帮助伙伴成功,约翰.C.麦克斯维尔,爱情_职场,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/11qALkZg5b0LsmkQpYVd4ig
职场不逃跑,小V,爱情_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1VWdbeAaqQ0clnUILWsoQCg
让全世界都看见你,亚历山德拉·列维特,爱情_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1Mu9pFGSxR_UftWUuHFVi9g
办公室政治,大卫·班克罗夫特·特纳,爱情_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1zFlkkEcMl5OdiwXU0PsRYQ
“升职超人”教你旋风成长法则,福井克明,爱情_职场,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/14_BjXdkXcWKf_o3xgioL1g
结爱·异客逢欢,施定柔,爱情_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1n6s_ocU1wvco15iQEoKO0Q
爱的进化论,阿兰·德波顿,爱情_职场,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1Asu70wLT2veF8XdvuBwnxg
浅情人不知,师小札,爱情_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1IUZhNc7kdIHmjcgywcIIAg
谢谢你离开我,张小娴,爱情_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1umUV_Cukf9GOfKcokvxN0g
迷上我,成真,爱情_职场,1,百度网盘(提取码:6666),https://pan.baidu.com/s/11xeRd9gICLQNTUUxunhQLA
恋爱真相：最好的爱情是彼此高攀,苏清涛,爱情_职场,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1g38KRWMPAgq8WjVlR91YGw
人生的84000种可能,艾力,爱情_职场,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1iIT3zv95maWka9rTmAXFfw
好好工作,懒人老猫,爱情_职场,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1-axxW-kvMhmiJa3DQImJhw
工作是最好的修行,樊登,爱情_职场,7,百度网盘(提取码:6666),https://pan.baidu.com/s/16Ks2_kUamtPTlOvjheJCng
爱如繁星,匪我思存,爱情_职场,6,百度网盘(提取码:6666),https://pan.baidu.com/s/1c6BUaOX1TMMK8tKyWgsiTw
存在感,克里斯蒂·赫奇斯,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i4XvOZ7
一次性拿下面试,黄宇征,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1mhY0Sgo
世界500强选人标准：责任胜于能力2,内尔·依格,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cMQicu
职场人际不可误踩的地雷,杨承清,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qY3zJJY
我们的爱在婚姻中搁浅,南西,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVdlMOR
男人要被懂，女人要被爱,雅文,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nve3y6d
恋爱戒律,郑洁心,爱情_职场,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1oZrAXApsw75to0iIDL3MRA
我在华为的日子,董延明,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c2GDql6
爱情刽子手,欧文·亚龙,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qXP0jYc
爱情笔记,阿兰·德波顿,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o81YPtw
专业与美丽,丁菱娟,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8NIroA
找我2,黄铁鹰,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hrW1Bla
"我依然爱你,我只是不喜欢你了",小岩井,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1mi8TjgG
沙僧吐槽日记,快刀青衣,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hrCOOwG
国企秀：让人迅速提升的职场政治小说,方效,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dECTOg5
职场软实力：人生硬道理,yk ,爱情_职场,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dEXS257
