书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
伟大的电影,罗杰·伊伯特,电影_剧本,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1h4JhxwyhstK_1bTVFRafrQ
认识电影插图第11版,路易斯·贾内梯,电影_剧本,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1MC4YYFQ_8kgksrPtYDvsxA
电影风声传奇,老鬼,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5yWm93
不敢问希区柯克的就去问拉康吧,斯拉沃热·齐泽克,电影_剧本,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1hR36gYRXVf3jhiuR0e_eOQ
不准调头：世界电影大师的救赎之旅,张秋,电影_剧本,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1GWDtkzjVCndS2ideZ3R7FQ
一个人的电影,贾樟柯,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7XaQ0M
电影中的武器,托托,电影_剧本,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1nKErS6WN_RgBVBx2S3pPLQ
电影狙击历史,上林,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1miHeUKC
类型电影教程,郝建,电影_剧本,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1F9qXpK3uY9y7agDKpuakzw
电影通论,陈晓云,电影_剧本,6.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1OG8mmYZU2QF6VJHtby1SCQ
银幕背后的秘密,Magasa,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5kFBHN
影君子,周黎明,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nuMkYq1
影评与剧论,夏衍,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o79XB66
一生要看的500电影(第2卷),美国电影研究会,电影_剧本,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1bMh1NhXdIauAOys1n1OsYg
香港电影夜与雾,汤祯兆,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hskHfVI
香港电影血与骨,汤祯兆,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSkfmL0
琥珀+恋爱的犀牛,廖一梅,电影_剧本,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1zTl1PV4Q_4Wlk2QebiYYWQ
影响你一生的47部电影,新东方英语编辑部,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hsdoPRe
电影品格,罗登,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSeEzYU
写电影剧本的几个问题,夏衍,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7GHCkq
我爱·我家,郑猛,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bo6oEjP
光影中的信望爱,石衡潭,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nu7USKp
我的影评不撒谎,李星文,电影_剧本,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKMHkT1
李尔王（中英文）,莎士比亚,电影_剧本,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1JsXpnqwJzIG5t5nSWyX-GA
哈姆雷特（中英文）,莎士比亚,电影_剧本,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1fEcOFzfGi0RvFcE_4NAcNQ
奥赛罗（中英文）,莎士比亚,电影_剧本,8.6,百度网盘(提取码:6666),http://pan.baidu.com/s/1nvs8fqx
麦克白（中英文）,莎士比亚,电影_剧本,8.5,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7Kaiue
老妇还乡 ,迪伦马特,电影_剧本,9,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKLZT8n
玩偶之家,易卜生,电影_剧本,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1s2Nv0Vr4tCIg5UoweopJjA
故事：材质结构风格和银幕剧作的原理,罗伯特·麦基,电影_剧本,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1hs3lCe3-AEhqXXhD87BcKQ
