书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
论大战略,约翰·刘易斯·加迪斯,社会_人类,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1HZQDlnitLMPUws_8yiY_Bg
第三次浪潮,托夫勒,社会_人类,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1bqFyRxcAtKe4R9gcW1Qc8A
最好的亲密关系,罗宾·邓巴,社会_人类,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1o4UO4FuASpmFV_0oKLSQ9A
巴黎美人：我是我自己,珍妮·达玛斯,社会_人类,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1t6dScsWNLobHF96r4Lqj8A
信任论,郑也夫,社会_人类,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Bit6D_C7QtqimgeOOqbr7A
人生学校：理想的工作,人生学校,社会_人类,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/166TOgZuLgbgMS-Ium0A35A
工作漂流,稻泉连,社会_人类,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1bVu22sAAyJfm_nKQ0nnuww
大国空巢,易富贤,社会_人类,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1re2J_DgU6VfL3xKVUPo_dQ
潜流：对狭隘民族主义的批判与反思,乐山,社会_人类,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/19X7XCTP-nrgzqydjH8LF8w
何故为敌：族群与宗教冲突论纲,李峻石,社会_人类,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1W_nfEQl7lqKrsxZFcX9cdg
21世纪政治经济学,科勒德克,社会_人类,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1UPYn8Tk8Tua-bV6mHY2KBA
最深的水是泪水：辽宁省公安消防总队扑救7·16大火纪实,鲍尔吉·原野,社会_人类,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Qfl_xonleQrhF0dJJYnjFA
目标中国：华盛顿的“屠龙”战略,威廉·恩道尔,社会_人类,6.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1cQviy9eQoAhERhDjkGIxeg
看懂世界冲突的一本书,关真兴,社会_人类,5.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1yxe0kx0CRTsjHG32HS3A7Q
人类网络：社会位置决定命运,马修•杰克逊,社会_人类,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/164hSYbuj0ITkxC06x_RzKQ
游戏的人：文化中游戏成分的研究,约翰·赫伊津哈,社会_人类,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1UWdWGl9J1j_wPtE5_fQGXQ
全民蠢萌的美国,比尔·布莱森,社会_人类,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1SE0jTaxxOZM5xvg8aq_l4Q
大国速度：中国高铁崛起之路,高铁见闻,社会_人类,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1DvAnFmD0kOEX222sJQnRZA
信任：社会美德与创造经济繁荣,弗朗西斯·福山,社会_人类,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1FejCAthYLaJ_YJ3D6JscqA
城市的胜利,爱德华·格莱泽,社会_人类,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1QsNdoA2Pv7KQBAQ-Voq0Hg
大国冲突的逻辑：中美之间如何避免战争,克里斯托弗·科克尔,社会_人类,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/145Jg-DxF6l3wR289FUDjpA
富豪的心理,雷纳· 齐特尔曼,社会_人类,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1nD2INv1yIajXwOtkoA7yvw
最好的告别,阿图·葛文德,社会_人类,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1p2bjZOB02SsCOFI1NNzrSQ
C形包围2：Q形绞索,戴旭,社会_人类,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1bzuxOOXxkbokbUuhvJSKGg
下游老人,藤田孝典,社会_人类,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1gwTCOzVlDvFWvt1l2TdlSw
想象的共同体,本尼迪克特·安德森,社会_人类,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1iTMcz0IPOLeKRJXurtO9yA
房奴,戴维•戴恩,社会_人类,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/10O8ArU8yvMm7bQX0GVtWHg
崩溃,贾雷德·戴蒙德,社会_人类,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1JWK_27BCoFVReVaMGfIimA
社会工作概论,顾东辉,社会_人类,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1XE6olkBZmfYAvVBgo9Qm1Q
