书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
沙门空海之大唐鬼宴4：不空,梦枕貘,科幻_穿越,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1fzWC7qpq4Y0TsQFn9YtnUg
变化的位面,厄休拉·勒古恩,科幻_穿越,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1cAOQpBLrMiOChZ1N__5GGA
克莱因壶,冈岛二人,科幻_穿越,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1UGnw-Qz3jBSohvzeF544XA
醉步男,小林泰三,科幻_穿越,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1ePo85afnEYSY_Ij23cWn4Q
气球上的五星期,儒勒·凡尔纳,科幻_穿越,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1_v0jwRQ4lavOfiYcGt1VCQ
龙蛋,罗伯特·福沃德,科幻_穿越,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1LRJ9NQrngdSvAcIG71YVkw
造物者之歌,狷狂,科幻_穿越,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1JfLD5cEr0uzdAHlr1DG1dg
遥远地球之歌,阿瑟·克拉克,科幻_穿越,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1CaCZZpzqtapLrm200atFfg
哈利的十五次人生,克莱尔·诺丝,科幻_穿越,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1BJ5TKYA5hyVmtqb58mYmgQ&shfl=sharepset
编码宝典（套装共三册）,尼尔·斯蒂芬森,科幻_穿越,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1erKsaKJkUihYOfAxtwXXRg
四时歌：骑桶人自选集,骑桶人,科幻_穿越,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Zf14SugtjRkTEfLKYsp3CA
吞噬星空,我吃西红柿,科幻_穿越,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1xtv9Tq4AjDIoSvjeaP5Y2Q
