书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
运营的秘密：解码大公司的运营方法论,黄杰民,科技_互联网_计算机技术,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1afaFbxW0XnzpU3w1kw4fnA
边缘计算方法与工程实践,张骏,科技_互联网_计算机技术,1,百度网盘(提取码:6666),https://pan.baidu.com/s/11diRSDT1SQXKXfvF_hStSA
破茧成蝶1、2,刘津,科技_互联网_计算机技术,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1MLkJtmhpG497SqfRJ2PwVA
笨办法学Python（中文第3版）,泽德 A. 肖,科技_互联网_计算机技术,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1ppZnjsDyROY2-d7mzdupiw
社会工程：安全体系中的人性漏洞,海德纳吉,科技_互联网_计算机技术,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1xMdQq0Wt60_QCA8grC9jaA
股市信息藏宝图,袁克成,科技_互联网_计算机技术,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1KWLlw4ZE5QMvwIFBtBb5Fw
MySQL必知必会,Ben Forta,科技_互联网_计算机技术,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1KzAUNN0GBw93o3-up32s-Q
智能城市,卡洛·拉蒂,科技_互联网_计算机技术,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1BwmOZfBTGZL6Kj7S_jnQgw
微粒社会,克里斯托夫·库克里克,科技_互联网_计算机技术,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Qbxm1sKkcX8W04lkJ4zZYg
幕后产品：打造突破式产品思维,王诗沐,科技_互联网_计算机技术,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1O2WUuPh-kUH1iESFc7XV2w
人工智能产品经理,张竞宇,科技_互联网_计算机技术,6.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1KpPng0d78lXD0PHbYE4cgg
社群运营,查尔斯·沃格,科技_互联网_计算机技术,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1qjkCTzUdhTOsnexgLVMEuA
世界尽头的世界,路易斯·塞普尔维达,科技_互联网_计算机技术,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1atWKDOUdQaxo1b9uFoCScQ
图解物联网,NTT DATA集团,科技_互联网_计算机技术,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/13LXE18gawk7uj4IFGCJUmA
拉新,加布里埃尔·温伯格,科技_互联网_计算机技术,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1W-_0X0LWQJkxdBIyv8OyaA
链接：商业、科学与生活的新思维,艾伯特-拉斯洛•巴拉巴西,科技_互联网_计算机技术,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1xwDiFN6PeVMcbiR8uLyt1w
进化式运营：从互联网菜鸟到绝顶高手,李少加,科技_互联网_计算机技术,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1OTWo0CEOOd3b-91HvKxH-A
删除：大数据取舍之道,维克托•迈尔-舍恩伯格,科技_互联网_计算机技术,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1CDJ0Jc86OEpEyDA9JVz6Ag
机器学习：实用案例解析,Drew Conway,科技_互联网_计算机技术,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/14aBo-9GA-7JY7JR1cEFnkA
码书：编码与解码的战争,西蒙·辛格,科技_互联网_计算机技术,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1WSS5GJTG1cQHJq-b127kSQ
谷歌和亚马逊如何做产品,Chris Vander Mey,科技_互联网_计算机技术,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1aY2LpvXET1sHLy1z6cgYkg
数字黄金,纳撒尼尔•波普尔,科技_互联网_计算机技术,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1839ZnDBRKdpc7Z4tYdga-Q
Python数据科学手册,Jake VanderPlas,科技_互联网_计算机技术,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1758a3f9A9PuAcsmK_LAUyg
写给所有人的编程思维,吉姆·克里斯蒂安,科技_互联网_计算机技术,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Vprkl8xDd6HX6Glk-VOQRw
智慧城市,安东尼·M.汤森 ,科技_互联网_计算机技术,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1erjEbFmJVxygtRjlyGdjwg
共鸣：内容运营方法论,舒扬,科技_互联网_计算机技术,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1NWY36jr1fo6puY3E3Sbw0w
统计思维：程序员数学之概率统计（第2版）,唐尼,科技_互联网_计算机技术,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1TcyjwvPG1OTS2h3yUufQfA
微交互：细节设计成就卓越产品,塞弗,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://share.weiyun.com/5Ro6EGA
暗知识：机器认知如何颠覆商业和社会,王维嘉,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://share.weiyun.com/5SUAVgN
订阅：数字时代的商业变现路径,罗伯特·金奇尔,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://share.weiyun.com/55bXdRD
Unix内核源码剖析,青柳隆宏,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://share.weiyun.com/5i4Ka1t
产品心经：产品经理应该知道的50件事,闫荣,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://share.weiyun.com/5iyd6GV
引爆社群：移动互联网时代的新4C法则,唐兴通,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://share.weiyun.com/5UbnZ3f
缔造企鹅：产品经理是这样炼成的,胡澈,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://share.weiyun.com/5UvwZKJ
社群营销实战手册：从社群运营到社群经济,秋叶,科技_互联网_计算机技术,1,百度网盘(提取码:6666),https://share.weiyun.com/5B3zAaq
硅谷增长黑客实战笔记,曲卉,科技_互联网_计算机技术,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1ekLUYI0s4v1Dq4r_GwfzRw
AI极简经济学,阿杰伊·阿格拉沃尔,科技_互联网_计算机技术,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1a7yX9UTNL9vRpvN5twjFVg
Python编程：从入门到实践,埃里克·马瑟斯,科技_互联网_计算机技术,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1sWisVmXEBTB6_R690H8rRw
Linux高性能服务器编程,游双,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1pA9ka9H4o0XyVJi-Ez-CIw
智能商业,曾鸣,科技_互联网_计算机技术,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1JQYxiDjP8fPNVjJ4dEcHIA
高阶运营：从小编到新媒体操盘手,龙共火火,科技_互联网_计算机技术,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1thcDUnERZLdclb86FFx-FQ
新媒体营销概论,秋叶,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1hnEVnpVWnMRuNV7LVYevJA
软件体的生命周期,特德·姜,科技_互联网_计算机技术,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1-AMbpnGRBoYhYEu5r9mG6A
偏好的经济分析,加里.贝克尔,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1uOHqR_st0Ykvcv0miVjpHQ
数字经济：中国创新增长新动能,马化腾,科技_互联网_计算机技术,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1N7oHJsK1xJY9gGLu4-n6Bw
新经济，新规则：网络经济的十种策略,凯文・凯利,科技_互联网_计算机技术,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1R403xuMxoLhnTE--QeBI0Q
重构：改善既有代码的设计,马丁·福勒,科技_互联网_计算机技术,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/13tUVtrDf53ItTDkqj4AkJw
科学的极致：漫谈人工智能,集智俱乐部,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1ESkfRiQwd7XzIPKsxytJjQ
超级智能,尼克•波斯特洛姆,科技_互联网_计算机技术,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1YGQJ8RW3jHJuLI0ZATVMGw
机器人时代,马丁·福特,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1gJ5VFkgvWCGrvv9dmhKFPw
凤凰项目一个IT运维的传奇故事,基恩·金,科技_互联网_计算机技术,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1__QaIPogi2raIrRj9fOGHQ
从莎草纸到互联网：社交媒体2000年,汤姆·斯丹迪奇,科技_互联网_计算机技术,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1x9qxqrecfOKpqJ3rKgq0sA
智能机器的未来,戴维•明德尔,科技_互联网_计算机技术,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZofkGeSBYWB0WVBO7L5I5w
经济学讲义：颠覆传统经济学26讲（上、下）,李俊慧,科技_互联网_计算机技术,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1bPZSfgfv4KJWsA7E19ZvKQ
计算机网络（第7版）,谢希仁,科技_互联网_计算机技术,9,百度网盘(提取码:6666),https://pan.baidu.com/s/132Sb7KL4Plc9bYbXHLyLzQ
个性化：商业的未来,苏萌,科技_互联网_计算机技术,0,百度网盘(提取码:6666),https://pan.baidu.com/s/11pRg2CKANgD_s1DFye9jfg
增长黑客,Sean Ellis,科技_互联网_计算机技术,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1KorGVx3i78svS59zCTiA1w
敏捷思维：移动互联网和大数据时代IT企业转型、升级与再造之道,谢明志,科技_互联网_计算机技术,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1td0vhwVi1MTu4fntYohu6Q
