书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
宇宙简史,康斯特,科普,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1t8QhEUhTF4QsUcPqu1mu8A
新知•学习的革命,新知,科普,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1rdu7B7CeTmoJamQDw_zWPg
写给孩子的数学小百科,李志敏,科普,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1OvQomvpnWhbtZkde7WajVg
统计与真理,C.R.劳,科普,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1giJ6QyZrxl5iIn8HF0ksXw
创造自然 ： 亚历山大·冯·洪堡的科学发现之旅,安德烈娅·武尔夫,科普,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1EWFBYk5RC5Qp-5VL8whmiQ
养脾胃就是养命,翟煦,科普,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1yCSco74LOm1csgsaSV3G3A
混沌与分形浅谈,钟云霄,科普,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1I4sqkzNxCn-HFLx9P9Ks3Q
让我们灵魂激荡身体欢愉：一个男科医生的手记,任黎明,科普,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1P7CvWKqsywF3yB8k7vBcrg
女生呵护指南,六层楼,科普,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1baMc8ksI9IQ09mdW7a7gog
免疫力,安保徹,科普,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1cSPnDOzgIkGW5g83gkTTcw
祖先的故事,理查德·道金斯,科普,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1yqRXWpAn1bqk4UXq0OGVOw
行星全书,尼尔马拉·纳塔瑞杰,科普,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/104JkoofszEUdjixWkYFfMA
驯化：十个物种造就了今天的世界,艾丽丝·罗伯茨,科普,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1UaazrRK_SUAmDhSiutdSKg
混合式学习：用颠覆式创新推动教育革命,迈克尔•霍恩,科普,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1VX0IPEimBgusIRSjhoQFbA
火焰中的秘密：从炼金术到现代化学,延斯·森特根,科普,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1-DSfZN4EHztu3nfV5AjtxQ
太阳系度假指南,奥莉维亚·科斯基,科普,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1LwSVV6cDwbL3iA86azWLlA
欧洲常识,吕夏乔,科普,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1lgh7FjnGpZzsw-na3PfgIQ
万物发明指南,瑞安·诺思,科普,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1bIVoeo2_OWExtsgTwoEw4w
世界重启,路易斯·达特内尔,科普,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1vf5ve-9k7FYXWCyNPM_ZFw
十分钟智商运动,李永乐,科普,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/120BgPBMr-WIryWTmRvdvig
