书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
偏执乐观：诺基亚转型的创业式领导力,李思拓,管理_创业,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1T0r3b6BxdVQXhTuXUeJAEg
组织能力的杨三角,杨国安,管理_创业,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/139aDQtNBmc9VSGJuiwfPOg
第二曲线：跨越“S型曲线”的二次增长,查尔斯·汉迪,管理_创业,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1OkId3dxFJB5pe_KsW6tR6w
这是你的船,迈克尔·阿伯拉肖夫,管理_创业,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1FpU1fdjy8hsTrqZiEc4Uxw
极简法则,理查德·科克,管理_创业,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1ei7_WOmkifxcyuqhH1FmVA
第二曲线创新,李善友,管理_创业,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/12PkKkZkwXRAGdPuuiPJiOQ
YC创业营：硅谷顶级创业孵化器如何改变世界,兰德尔·斯特罗斯,管理_创业,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1bsfU1YOOrkGDhG4iirmFzA
管理未来,彼得·德鲁克,管理_创业,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1jz5eaz-qUxeCshukwqD5YA
三十而立：一家民营企业的创业历程,陈斯文,管理_创业,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1sA_SLD095S8qB_XfkshiMw
企业战略博弈：揭开竞争优势的面纱,格林沃德,管理_创业,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1owHVa8pK2bxDe3Cvqm7UNg
重塑组织,弗雷德里克.莱卢,管理_创业,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1RHuVTNNqrxhhSkUnJz9vew
危机领导力：领导团队解决危机的十种方法,丹尼斯·N·T·珀金斯,管理_创业,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1PKyoxU-XSvJjSSHSFg8Vpw
模仿的技术：企业如何从“山寨”到创新,井上达彦,管理_创业,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Q7hB2-Qni1L2bP3zjn0H9A
以奋斗者为本：任正非引领华为的方法和故事,成正心,管理_创业,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1rEceXhrAyXB9qK_lxrI3Cw
