书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
全脑优势：提升财富与职业的稀缺能力（第二版）,奈德•赫曼,自我管理,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1kR_OxmkTe8oNYyRwo-fKbw
和繁重的工作一起修行,一行禅师,自我管理,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1sBFUoTfEuqeVqD5RVq0UBg
高效忍者：压力小、效率高、不糟心的工作艺术,格雷厄姆·阿尔科特,自我管理,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/15bnm9dmYU_otQoCW0q5HbQ
成为极少数,李栩然,自我管理,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1iaplKi8WhTzss2kwpd5Gqw
精准努力,野口真人,自我管理,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1pe2fEjMz-1frNcg4UP_jMA
精力管理手册,张萌,自我管理,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1NThmrTrI8fsjTt6dMg0-Tw
格局逆袭2：致富的逻辑,宗宁,自我管理,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1QW3RPa_IWfHRiUWt42G6Jg
幸福的三个真相：让你的身体、头脑、能量支持你实现快乐生活,萨古鲁,自我管理,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1XsgginQ53cdB0BkHa1HBnA
卓越工作：从优秀到卓越的高效工作法,莫滕·T·汉森,自我管理,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1jsujfQi0iGmh9dtr0rUtlw
高效休息法：世界精英这样放松大脑,久贺谷亮,自我管理,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/181Ys9R0CKAn-E37dO1IpYg
从受欢迎到被需要,张萌,自我管理,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1b-XT62rMTFlbGj3cMQyW_Q
自愈力：让你越活越健康,李元卿,自我管理,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1tXop3d1hRJbML7d6-oJO8A
情绪自控力,曾杰,自我管理,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1_XMmONUrusz0YEw4KVpJZQ
先学会爱自己，再遇见对的你,周梵,自我管理,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1JvKORk_kvjn38SAsjtidvA
颠覆式成长,惠特尼•约翰逊,自我管理,5.9,百度网盘(提取码:6666),https://pan.baidu.com/s/18mIblkMZdYAh30j4TanZig
万能钥匙,查尔斯·汉尼尔,自我管理,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1i7afK2Y-1dxZ8XN9-Cs67Q
人生护城河：如何建立自己真正的优势,张辉,自我管理,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1bYQDqX8D5PKpqkeDwQFSQw
专注的力量：培养专注力的20堂自我训练课,杜蒙,自我管理,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1KnHr4hclnrsGqMlomiDBfQ
超级记忆力训练法,刘志华,自我管理,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1QVeoZrFFC544PpNGpmHaLA
为人三会：会做人会说话会办事,端木自在,自我管理,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1TS9SL_ywugxWe4M4spRxDA
懂选择的女人更幸福：做一个外在明亮，内在自由的女子,水湄物语,自我管理,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1APUJjoc824BGuwMiuMr1MA
修心三不：不生气不计较不抱怨,端木自在,自我管理,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1ixTYWKJG9mjESSpxxk0GTw
不良资产处置诉讼实务与案例剖析,秦丽萍,自我管理,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1KPN2FiAa8ZiXyJbc46T1DA
清醒思考的策略,罗尔夫•多贝里,自我管理,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1WIBdV-2QCI1pYB8MERyzWg
穷理查开悟书,富兰克林,自我管理,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1rlA0c36JMrwuZ6Yo8lr5MQ
尽管去做：无压工作的艺术,戴维﹒艾伦,自我管理,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1G2VHgUVrW-Fj8EWYXZoW0g
掌控习惯,詹姆斯·克利尔,自我管理,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1YrOVjx2CHTKI_N7Z2H_3NQ
轻松学会独立思考,张志,自我管理,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1joHrTQ5rU0msUExLAV4Q_Q
跨界学习,王烁,自我管理,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Cqn9R4L_f_XpZxv93KaliQ
精彩人生的一分钟小习惯,冲幸子,自我管理,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1g7PETO-06zZvshdcPVwtgw
所谓学习好，就是方法好,坪田信贵,自我管理,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1hZU8b2Q0gRUptyv08yapig
"女人不能太单纯：心智成熟,才能少走弯路",胡南,自我管理,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1qnpH4pJL2wnY5x2qG2brnA
灰度决策：如何处理复杂、棘手、高风险的难题,小约瑟夫·巴达拉克,自我管理,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZPsDbnnkbQI0Ro-3qQnAiA
从行动开始,石田淳,自我管理,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1WzaljcEp95Torv9FE2nyqQ
小强升职记（升级版）：时间管理故事书,邹鑫,自我管理,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1oNsATgoJm_RW7DDU65usJg
掌控生活，从掌控时间开始,Brian Tracy,自我管理,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/144UUme8BwFe6ZyXuKprp8g
一个笔记本搞定你的拖延症,大平信孝,自我管理,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1am9dB27DdJvPTTFRB467BQ
别说你懂思维导图,赵国庆,自我管理,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1l-8jcbcns8P_BI507AFrAg
真希望我20几岁就知道的事,蒂娜·齐莉格,自我管理,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/11j8-c4hMD9GfMA1R0lSwXQ
思维破局,马华兴,自我管理,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1IhwY6a7kb7Jh5KKBw_Hwpw
秦皇汉武：从秦汉帝国的经略之道看企业做大做强,,自我管理,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1hpeMcPjmdyLQokryTr-jFg
心静的力量,拿破仑·希尔,自我管理,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1GxJyR5NE-dhRRtnhVbVJtQ
精进2：解锁万物的心智进化法,采铜,自我管理,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1yBCnx007TcL1O220LvZ59Q
清单革命,阿图•葛文德,自我管理,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Ii_UnkcYjwCXbOAr-D_QyQ
没有任何借口,杰伊•瑞芬博瑞,自我管理,5.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Btw1yRGEfhBIOGDhbRVvzQ
最怕你一生碌碌无为，还安慰自己平凡可贵,老杨的猫头鹰,自我管理,5.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1-oigwS6JaT7JTTf224Nnuw
生而不凡：迈向卓越的10个颠覆性思维,维申·拉克雅礼,自我管理,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1GDyCEaIhn_wnd3jDacmLkg
极度效率,阿米特·奥菲尔,自我管理,5.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1ufe5j3HMs4iQxcqIC76VPA
事实,汉斯·罗斯林,自我管理,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1KcKmTFU1-3E5k_rxJbekZw
升维：让你人生出众的另类通道,褚明宇,自我管理,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1meGg-oI7W_N8RzyRZBgAzg
能力陷阱,埃米尼亚•伊贝拉,自我管理,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1BYIFvJDFDVO4S4fpgacWDA
子弹笔记,赖德·卡罗尔,自我管理,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/15MyBAVG9I6jTrEfWsCh92g
反惯性思维,任白,自我管理,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1TekEEpARKdSi5M-AZl2Bsw
并没有如愿以偿的人生,杨时旸,自我管理,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1THLDnCaDIksNP1FCTKqiyA
我们要自学,张玳,自我管理,6.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1pvd2LFIofffOXB8UILAo4w
成事：冯唐品读曾国藩嘉言钞,冯唐,自我管理,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1TDj7vlbz4xj0phRifJd0XQ
应变思维：看穿情势的本质和隐藏的力量,萧亮,自我管理,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1hzlkewOHfsxTsPqFF9WtyQ
麦肯锡精英的48个工作习惯,户塚隆将,自我管理,7,百度网盘(提取码:6666),https://pan.baidu.com/s/17VhlUHoh16K8mFTwpLkt9w
内向者沟通圣经,珍妮弗·康维勒,自我管理,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1S6ovtkaE_Tx2VS1oBDUCMg
如何结交比你更优秀的人：把高端人脉变为优质人生资源,康妮,自我管理,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/14bbQucFnGZkh5xJtwhTnDA
