书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
辛丰年音乐笔记,辛丰年,艺术,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1gTrX-is_Xf7R-870QiBekw
醉文明：收藏马未都1-4,马未都,艺术,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1vEj5YsZ-gYGs1BRET1p4RQ
捡来的瓷器史,涂睿明,艺术,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1E5C4Bkqej7Ej0BFSRd6rXw
音乐鉴赏,谭建光,艺术,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1u6fLybnbn7hYDTLdDyieNg
细读文艺复兴,杨好,艺术,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/12_WLHRIqHtW30nFx2S7q-g&shfl=sharepset
混大成人,宁浩,艺术,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1bJzHzDzxD2LNj1EwWuNPuw
艺术创造学,余秋雨,艺术,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1bovmh2UPYgx_Qjya1bIunA
中国工艺美术史,田自秉,艺术,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1LLUJbnP6x4RnaRGuJsiXWw
艺术电影手册,艺术大师编辑部,艺术,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1ooF_WPa7Q0RJkPoYR0kwng
中国艺术史,迈克尔·苏立文,艺术,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Hp80sBt7ZUhSj8bAvJuuUQ
中国美学通史,叶朗,艺术,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1wD0eHfG319B889TPxckJng
中国美术简史,中央美术学院美术史系中国美术史教研室,艺术,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1FmO0y6PqWnvZTcP2n3mq5Q
如何看懂印象派,丰子恺,艺术,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1rtuIfCYo7DvohgDlIyp63w
大家都来听古典：古典音乐简单到不行+古典音乐就是这样子+古典音乐一下就听懂,吉松隆,艺术,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1vBqAZSc2jCmGwTXDoiZYjg
无言之美,朱光潜,艺术,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1jAIkx-sZqGJxjT0jlRALkw
美术馆里聊怪咖,山田五郎,艺术,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1KnKCiRWJYdJaPwNGlbc8rg
影视美学,彭吉象,艺术,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1EuwXy16QckP8FP2eV5-lUA
