书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
The Devil and Sherlock Holmes： Tales of Murde,David Grann,英文原版,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1tGkfQgNb6m9GKDyS8oOqPQ
The Marvelous Clouds： Toward a Philosophy of ,John Durham Peters,英文原版,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1GXqxvwWt0oxg4OFCVw6ySw
Everything I Never Told You ：A Novel,,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1I0X02ZmBU-Xcws5DXeh5yw
Practice Makes Perfect English Sentence Build,Ed Swick,英文原版,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1V85wj3V3tzBiikeMyE93dQ
The Subtle Art of Not Giving a Fuck,Mark Manson,英文原版,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Yr3vDXwDDIPWpOJK2OiL7Q
Trying Not to Try,森舸澜,英文原版,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Qq0niVKuf1UC5gYV0-HpdQ
Educated：A Memoir,塔拉·韦斯特沃,英文原版,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1tjvRr_6sjVbtp2NFnuRj_w
Homegoing,Yaa Gyasi,英文原版,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1Bwe-1L8lsOqgxaeseUy1KQ
Forrest Gump（阿甘正传英文版）,温斯顿・葛鲁姆,英文原版,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1NtKQCM5MaKK-HfG-qNaxmA
Small Is Beautiful：A Study of Economics as if,EF舒马赫,英文原版,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/19iOb1ruVYCPnxjSB9sagRg
Fooled by Randomness,Nassim Nicholas Taleb,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/11g76YStSV1PaafpXaBsiqA
The Silk Roads,Peter Frankopa,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1fYv16tJk57DOnev0a_hQ1w
F In Exams,Richard Benson,英文原版,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1AkXh5ZP6DWrbZVEtQVkmMQ
The Enchantress of Florence - S（佛罗伦萨的神女）,Salman Rushdie,英文原版,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1quRDlRlfphbdk8z6S1EGxw
The Joy Luck Club,Amy Tan,英文原版,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1zC2nc-3dRInXpHVhYyi0Jg
Beyond Feelings,Vincent Ruggiero,英文原版,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1icXTFABJn9XS6HRH6mH5Rg
Tuesdays with Morrie,Mitch Albom,英文原版,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1VuoKKh25dJIG8Scn9taEmA
The Moon and Sixpence,毛姆,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1V3P63X2Suk71oo4fY0Z5MA
Lord of the Flies,William Golding,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/13Jl6T5eCHY1sZ0W6Rx8Rbg
The One Thing,Gary Keller,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1i-UdJh5UNj6lMmdR5JPnWw
The little prince,Antoine de Saint-Exupéry,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/137fI9-M2qGnL6BM4wsFuaw
Crazy Rich Asians,Kevin Kwan,英文原版,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/16hn6vypd_U6pE8z70W_sCQ
The Handmaid's Tale,Margaret Atwood,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1A2fuAP5yuIVYD0XO5f0oKQ
The Notebook,Nicholas Sparks,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1AFg8QyCWHDfYYc5SwjUSZg
The Thread,Victoria Hislop,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1CCYS0Dkwn2eLPHReLZylxQ
Hooked：How to Build Habit,Nir Eyal,英文原版,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1T3KIHWU2ubHpSMma9B_oZw
Marva Collins' Way,Marva Collins,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/16RlXV-hOOh3kZQ5UUR7ySg
Hyperbole and a Half,Allie Brosh,英文原版,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1s3uxQz92OdZ0C1sjtYh9_g
撒旦探戈（英文）,克拉斯诺霍尔卡伊·拉斯洛,英文原版,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/131kcSv0sVNeYjsNwoJPiPw
Call Me by Your Name,André Aciman,英文原版,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/13oRB7_Acft7Pb8XMtEKSdA
The Fault in Our Stars,John Green,英文原版,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1YViZSnmBZ_U_zk1_NosRBg
World War Z,Max Brooks,英文原版,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1fBWYQtek2fvmBr9THJxmAg
Sapiens：A Brief History of Humankind,Yuval Noah Harari,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skZm0yh
Wonder,R. J. Palacio,英文原版,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1HBwr7rhUnlflwIxwbn1_kQ
Case In Point：Complete Case Interview Prepara,Marc P. Cosentino,英文原版,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1kUWczeJ
Never Let Me Go（别让我走）,石黑一雄,英文原版,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1LiKtJ8M4lL9pm_4uWOwUCA
The Secret History of Twin Peak,Mark FrostMark Frost,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSb7ETW
Losing My Virginity,Richard Branso,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o85J7Ge
Amusing Ourselves to Death,Neil Postma,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i4LS6Yp
I Am Legend（我是传奇）,Richard Matheson,英文原版,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1x8hnlo26vH2Hy9M3R0jm3g
Blonde Ambition,Rita Cosby,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o82kzdK
How Children Succeed,Paul Tough,英文原版,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1RA8B8cDQzqC5MwIHgWzvXw
Fowler’s Modern English Usage,Henry Watson Fowler,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nvfloil
The Complete Sherlock Holmes,Arthur Conan Doyle,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8oCvAa
The Color Purple（紫色）,艾丽丝 沃克,英文原版,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1QSZ6xMVSfiaSYAb3YpT0AA
Song of Solomon,Toni Morrison,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skQLoAD
Personal,Lee Child,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5a4PEl
"If I'm So Wonderful, Why Am I Still Single",Susan Page,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYKrNC4
Lovers in Arms,Osiris Brackhaus,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1miPjIkg
Learning to Silence the Mind：Wellness Through,Osho,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skLv2bV
Naval Firepower：Battleship Guns and Gunnery i,Friedman,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qXSjgoG
Word Histories and Mysteries：From Abracadabra,American Heritage Dictionaries,英文原版,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Onyp9GPRwzopOIFWTWUWqw
Disgraced： A Play,Ayad Akhtar,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bpmSt6R
Professional ASP.NET MVC 4,Jon Galloway,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7Mh7om
George R. R. Martin's A Game of Thrones 5,"Martin, George R. R.",英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1slpNvqP
Daughters of the Dragon：A Comfort Woman's Sto,William Andrews,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skDnI13
这个世界会好吗？梁漱溟晚年口述(英文版),梁漱溟、艾恺,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bp5iYPh
Group Theory and Its Application to Physical ,"Hammermesh, Morton",英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1gfnzHOB
Deception Point,Dan Brown,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYyCoNE
Catastrophe 1914：Europe Goes to War,Max Hastings,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cklGeU
Inferno：A Novel,Dan Brown,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pK870y3
Kingdom Collection： Books 1-3 (Kingdom Series,Marie Hall,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5G11Al
The Lost Symbo：Featuring Robert Langdo,Dan Brown,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1slQu83b
Angels & Demons,Dan Brown,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cl7Ege
A Matter-of-Fact Magic Book：The Would-Be Witc,"Chew, Ruth",英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nvIvmjB
World Order,Henry Kissinger,英文原版,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1HvvtVyTXZxfFMKhj4nqEHA
The Mists of Avalon,Marion Zimmer Bradley,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nuGIUXb
Big Data Now,Basma M Issa,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dF2vRET
Sophie's Choice,William Styron,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c16l2I8
The Giver,Lois Lowry,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jHMUm4Q
Mice,Gordon Reece,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKOLRh5
How Wars End,A.J.P. Taylor,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5NS1ud
Effective C++ 55 Specific Ways to Improve You,Scott Meyers,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qY1t1Mk
Big Little Lies,Liane Moriarty,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c1Ma1g
The Point of View of the Universe： Sidgwick a,Katarzyna de Lazari-Radek,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1gfFja5X
Complete Fairy Tales of Oscar Wilde,Oscar Wilde,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1boTohaB
A History of God,Karen Armstrong,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eRThR3c
Ferryman（英文）摆渡人,"McFall, Claire",英文原版,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1yD8JWOEZ9LN3rTl4Y29T2g
One Day（英文）,David Nicholls,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c155yfu
The Nutcracker（英文）,Hoffmann E,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFsm0AP
The Night Before（英文）,Nikolai Gogol,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nv8RdDf
Beloved（宠儿英文原版）,Toni Morrison,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pLTfL0J
Hidden Tools of Comedy（英文）,Steve Kaplan,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFp4CgD
Half of a Yellow Sun（英文）,Chimamanda Ngozi Adichie,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nu8AR8X
A Christmas Carol (Penguin Christmas Classics,Charles Dickens,英文原版,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jI7Btae
