书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
译海一粟 ：汉英翻译九百例,庄绎传,英语,9.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1tSFvjMWfMY06sDtbvnGuvQ
跟各国人都聊得来：三个月外语流利术,本尼•刘易斯,英语,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Ax15yXzW8S3bYB1DyWu07g
新东方词汇进阶Vocabulary 12000,包凡一,英语,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1YVWZwZ8pqb6M-kZ4ylKQEA
恋练有词：高考英语词汇识记与应用大全,朱伟,英语,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1KZlcDtW4QoNtxdHC9ZJdwQ
与老外交朋,周建华,英语,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/19F61s0cz9v_2R189ZHT1Rw
我的第一本英语口语书,袁鹏,英语,0,百度网盘(提取码:6666),https://share.weiyun.com/5Zw8nrN
英语词缀与英语派生词,李平武,英语,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1HP0AKnV1HQii-2N1BzAruA
英语词汇的奥秘·升级版,蒋争,英语,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1q2Ew9-uy3lcljN5gJbW-Iw
英语魔法师之语法俱乐部,旋元佑,英语,9.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1SlfnWB-8Ru7t6A5ztqmnYw
人人都能用英语,李笑来,英语,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1-3BXyYttdMQ8hKk_cdlp9Q
学好英语这本书就够了,王江涛,英语,5.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1hz6UbB6cfv08wofexGCK1A
6个月学会任何一种外语,龙飞虎,英语,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1RsQIVys-OgsBVgjhTws5RQ
翻译辨误,陈德彰,英语,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1nnlLSubLtY7Tlhdqy9kpEA
词行天下：像学母语一样学英语,漏屋,英语,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1AWjoI21tY3AlYxMSCQUgcg
每天5分钟听透BBC,方振宇,英语,1,百度网盘(提取码:6666),https://pan.baidu.com/s/16Tom7HPVp04X1EUZLX4bxA
赖世雄美语音标,赖世雄,英语,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1bo1QOvd
