书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
人人都在说谎：赤裸裸的数据真相,赛思·斯蒂芬斯,计算机技术_设计,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1tOV5A7b5K7iQZSpao_dS9A
世界现代设计史（第二版）,王受之,计算机技术_设计,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1_UFDKXxXHRzTr3YD7rpQSQ
统计思维：程序员数学之概率统计,Allen B.Downey,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bpKIwAN
设计，无处不在,约翰·赫斯科特,计算机技术_设计,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1LYx8oeEFFYUxGSdXAdcYhw
设计师要懂心理学,Susan Weinschenk,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1geRKStP
超越平凡的平面设计：版式设计原理与应用,麦克韦德,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kV79RMn
字体设计数问,许瀚文,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVO4ViR
设计中的设计,原研哉,计算机技术_设计,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/14r7LYeCNMRMdMRIHae0i8w
设计心理学2：如何管理复杂,唐纳德·A·诺曼,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bpC9Ivt
动漫角色设计,黄山,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eRIY3Pg
设计模式之禅,秦小波 ,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5qHlp7
设计师谈家居色彩搭配,沈毅,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5K34m5
视不可当：信息图与可视化传播,斯米克莱斯,计算机技术_设计,6.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1A0hH7t_eesk5evvbmP_19A
程序员的数学思维修炼,周颖,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eRLEJOu
设计，为更好的世界,爱丽丝·劳斯瑟恩,计算机技术_设计,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/11Cffr4hU39eww23NJsUwqw
设计师的设计日记,南征,计算机技术_设计,5.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1aNLDzRs3_Oirk0gm_yi8MA
设计之美：知乎苏志斌自选集,苏志斌 & 知乎,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYkvG9e
字体故事,西蒙·加菲尔德,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5fkpLj
产品设计师技能书：知乎马力自选集,马力,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nvxYIc5
代码之殇,Eric Brechner ,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFJTGSL
Node.js开发指南,郭家寶,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pL3utbd
CSS禅意花园,Dave Shea、Molly E. Holzschlag ,计算机技术_设计,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bpt9xON
MySQL技术内幕：InnoDB存储引擎,姜承尧,计算机技术_设计,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1fQlMiq_Q6D9DHT6CdI0b1Q
