书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
像一场最高虚构的雪：关于当代诗歌的细读笔记,张清华,诗歌,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1g2bWqWHniJ31K6wBUnblxQ
三万年前的星空,谷川俊太郎,诗歌,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1MiREwtNYuG4mT3mjaAw8_g
尼伯龙根之歌：德国民间史诗,曹乃云译,诗歌,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1pmA64p8tv5y3i3m_gU_dRA
夜颂,诺瓦利斯,诗歌,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1LAs4pj9Zizoqq4HR9mitHw
渴望之书,莱昂纳德·科恩,诗歌,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1n8P2sHahHm6mbBxl9hoU-Q
月亮是夜晚的伤口,罗伯特·瓦尔泽,诗歌,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1iXm6Zh_GtIYaWKocn_FrmQ
春天与阿修罗,宫泽贤治,诗歌,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Va25-AXP-NuoVu7k6DSR-w
你来人间一趟，你要看看太阳,海子,诗歌,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1canH3vWCJD-_5pfHj4dulg
曼德尔斯塔姆诗选,曼德尔施塔姆,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1PK2sWwKo06u0tq5cvNAyCA
张枣的诗,张枣,诗歌,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1R4-0B_1lH496HXffoyAP8Q
关于方文山的素颜韵脚诗,方文山,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/120MYHWNMxgMdW8PyTXEKzg
汪国真诗选,汪国真,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/14APbfkLpt4aoN1b-HKH_vg
汪国真经典诗文,汪国真,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1z9d69pV8i3JrxfuAW3TTBw
木心诗选,木心,诗歌,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1AMWQIFMbua7-9--eHFunaQ
唐诗杂论,闻一多,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1FrPvakt7iDBJh0UKlfsGTA
彩画集,兰波,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/12-IlAVW0iviOnFZBFHtUTA
诗的八堂课,江弱水,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1X362GwpZrF12uYOAEyilVQ
给孩子读诗,果麦,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1KofO-BDcyN2vQUpQ1r7Gug
艾青精选集,艾青,诗歌,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1QVnctMyP1paVNsUteLdHTg
我们爱过又忘记,余秀华,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1ClL4qKalxq1rb_zAHQ0FpQ
我曾这样寂寞生活,维斯拉瓦·辛波斯卡,诗歌,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1pHBvIdKK_YBdnhKTeqFzdA
荒原,托·斯·艾略特,诗歌,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1L8Ab4R5uYxXIoyeia7E8vA
宋诗选注,钱钟书,诗歌,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1b5rlw8bodD6ZNfcbGvD3Hg
一生最爱纳兰词,苏缨,诗歌,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/19bEfAfITcftbdR3KgmaBFQ
那些年，那些诗：英文对照,章华,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1ctIYWA
顾城精选集,顾城,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1sl8hrFB
宋诗三百首全解,李梦生,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7IM65G
北宋名家词选讲,叶嘉莹,诗歌,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/19eWXYdMStD4A_Q4oPogX6w
诗的时光书,苏缨、毛晓雯,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVNRIS3
看诗不分明,潘向黎,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSl2pm6
唐璜,拜伦,诗歌,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1Y8Pv4tqfdkNixPCcUQtIAA
朦胧诗选,阎月,诗歌,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/17glZU2dqXPENd6drr4ID7w
恶之花,夏尔·波德莱尔,诗歌,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1AJS0X6sGOQjBiRFWkj0QWg
我的孤独是一座花园,阿多尼斯,诗歌,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1UOE1_8VH2WQtQwd0ijqITg
我的心只悲伤七次：纪伯伦经典散文诗选,纪伯伦,诗歌,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1PoLRtTdop9C5A5kj7CdjyA
现代情诗的古典底蕴, 陆红颖 ,诗歌,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1_qvy9ZZLbZaBHCOXEgQGJw
吉檀迦利,泰戈尔,诗歌,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1CrHdKakjiAPop_XbVdNYmw
