书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
喧哗与骚动,威廉.福克纳,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYRfe4s
卢布林的魔术师,艾萨克·巴谢维斯·辛格,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skBS3Hb
花的智慧,莫里斯·梅特林克,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nvnSJDB
丛林之书,吉卜林,诺贝尔奖,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1Z4Drm_aHv5XNCY6ehM4YKA&shfl=sharepset
人生的意义与价值,奥伊肯,诺贝尔奖,6.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1FfsjDS7jZmq0FqafuRolUg
大街(全2册),辛克莱·刘易斯,诺贝尔奖,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/11M1M98cx_UjuGpno4jVD6g
花环,西格丽德·温塞特,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dEW8e0D
明娜,耶勒鲁普,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nuADg5V
阿恩,比昂斯滕·比昂松,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bp0ysov
逃离,艾丽丝·门罗 ,诺贝尔奖,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1RjgguATTf7VciWCyr9efRQ
总统先生,阿斯图里亚斯,诺贝尔奖,8.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1bFENmA
大地,赛珍珠,诺贝尔奖,8.2,百度网盘(提取码:6666),http://pan.baidu.com/s/1jIwbjvw
大地硕果·畜牧神,克鲁特·汉姆生,诺贝尔奖,7.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1c60P6u
青春,J.M.库切 ,诺贝尔奖,8.4,百度网盘(提取码:6666),http://pan.baidu.com/s/1dEAh9pn
我的名字叫做红,奥尔罕·帕慕克 ,诺贝尔奖,7.8,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7KEGga
喧哗与骚动,威廉.福克纳,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYRfe4s
卢布林的魔术师,艾萨克·巴谢维斯·辛格,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skBS3Hb
花的智慧,莫里斯·梅特林克,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nvnSJDB
丛林之书,吉卜林,诺贝尔奖,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1Z4Drm_aHv5XNCY6ehM4YKA&shfl=sharepset
人生的意义与价值,奥伊肯,诺贝尔奖,6.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1FfsjDS7jZmq0FqafuRolUg
大街(全2册),辛克莱·刘易斯,诺贝尔奖,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/11M1M98cx_UjuGpno4jVD6g
花环,西格丽德·温塞特,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dEW8e0D
明娜,耶勒鲁普,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nuADg5V
阿恩,比昂斯滕·比昂松,诺贝尔奖,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bp0ysov
逃离,艾丽丝·门罗 ,诺贝尔奖,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1RjgguATTf7VciWCyr9efRQ
总统先生,阿斯图里亚斯,诺贝尔奖,8.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1bFENmA
大地,赛珍珠,诺贝尔奖,8.2,百度网盘(提取码:6666),http://pan.baidu.com/s/1jIwbjvw
大地硕果·畜牧神,克鲁特·汉姆生,诺贝尔奖,7.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1c60P6u
青春,J.M.库切 ,诺贝尔奖,8.4,百度网盘(提取码:6666),http://pan.baidu.com/s/1dEAh9pn
我的名字叫做红,奥尔罕·帕慕克 ,诺贝尔奖,7.8,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7KEGga
