书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
读懂一本书：樊登读书法,樊登,读书,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1p_LbEkX1wPYxEY-wNdfSYw
高效写作的秘密,杰拉尔德·格拉夫,读书,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1ExiDf59acl_Lse_ClFaqlg
麦肯锡精英高效阅读法,赤羽雄二,读书,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1-iI1oLzD3Ve8bt8Ov5jW_g
畅销作家写作全技巧,大泽在昌,读书,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1RNlFVKOEJXQhaSdgAD8R7A
猜测和偏见：何帆阅读笔记,何帆,读书,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Pq_3jmVdAgIMhN8YVoO3TQ
快速阅读训练法,刘志华,读书,5.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1yo7lkBxgNXFSOK09-Q0tWQ
快速阅读,东尼·博赞,读书,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1JGkuewcetPf4I1GLUBUmRQ
风格感觉：21世纪写作指南,史蒂芬·平克,读书,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/13M_IGq1Z4psIvGmODQcieQ
怎样读书,胡适,读书,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZktzUDmyZ-yy-H1JPNZRWw
读书是一辈子的事,樊登,读书,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1mgaOTZ7469xU-1pjTVuxqA
为什么读经典,伊塔洛·卡尔维诺,读书,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1cdw6ZTz_qv6RNCke8rWX_Q
七十二堂写作课：夏丏尊叶圣陶教你写文章,夏丏尊,读书,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1HTn2K6ZTdhxrrt5ijNYqDg
10天掌握快速阅读,艾比·马克斯·比尔,读书,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/19nEeYshw1bjCtCL0VWZYEw
一本小小的红色写作书,布兰登·罗伊尔,读书,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1L_SuX8Ev_PMN01wx35SGAg
如何有效阅读一本书：超实用笔记读书法,奥野宣之,读书,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1fSjS0WlnqPTXdLYNoNutAA
讲出一个精彩故事：获得“故事技能”的关键7步,麦成辉,读书,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1RVkSNPBsqZyQg-GdchnJqA
完全写作指南,劳拉·布朗,读书,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1NPhkq8RT4dqhmvNbro7wHQ
读书指南,梁启超,读书,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1KcXh-wZJwDoa6-jgY4ixmw
毛姆读书心得,W.S.毛姆,读书,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1nv23jE5
快速阅读术,印南敦史,读书,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kV1iXkN
学习之道,芭芭拉·奥克利,读书,8,百度网盘(提取码:6666),https://pan.baidu.com/s/11NtDLKBoBGEP1tB3hsbhbw
