书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
懂报表比会营销更重要,蔡丽煌,财务,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1vibCWxtPXiYvrH0eFC7_OQ
手把手教你编制高质量现金流量表：从入门到精通,徐峥,财务,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1x1rviQAru7JCxiagbDwfZg
从报表看舞弊：财务报表分析与风险识别,叶金福,财务,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1liL7WV-1wyqSc6jPx__TqQ
公司财务原理（原书第10版）,理查德 A.布雷利,财务,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1lIaADWWSrxCPjX_TJH7qZg
玩的就是会计,马靖昊,财务,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1iWX6ljifDAdvMDRa4ndRYg
财务诡计：揭秘财务史上13大骗术44种手段,霍华德 M.施利特,财务,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1v_1CU2MnuKkFE68Aknpa8w
会计学基础(第4版),崔智敏 陈爱玲,财务,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKQg8Pl
财务报表一本通,鲍新中,财务,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFmL9WP
懂报表比会营销更重要,蔡丽煌,财务,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1vibCWxtPXiYvrH0eFC7_OQ
手把手教你编制高质量现金流量表：从入门到精通,徐峥,财务,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1x1rviQAru7JCxiagbDwfZg
从报表看舞弊：财务报表分析与风险识别,叶金福,财务,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1liL7WV-1wyqSc6jPx__TqQ
公司财务原理（原书第10版）,理查德 A.布雷利,财务,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1lIaADWWSrxCPjX_TJH7qZg
玩的就是会计,马靖昊,财务,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1iWX6ljifDAdvMDRa4ndRYg
财务诡计：揭秘财务史上13大骗术44种手段,霍华德 M.施利特,财务,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1v_1CU2MnuKkFE68Aknpa8w
会计学基础(第4版),崔智敏 陈爱玲,财务,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKQg8Pl
财务报表一本通,鲍新中,财务,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFmL9WP
