书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
生活中的逻辑学,张绵厘,逻辑学,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1_yahRyky0Lt1Qyn0raWO_g
身边的逻辑学,伯纳·派顿,逻辑学,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1SLxNGOHalBHbxROkmjY5cg
逻辑思维与诡辩：60堂改变思维方式的逻辑公开课,张晓芒,逻辑学,4.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1QGIL4lCnmySrPUhh1O9Uug
三个逻辑学家去酒吧,霍格尔•丹贝克,逻辑学,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1oIlWsdrlTmnDgrIZe-PGNg
逻辑与演绎科学方法论导论,塔尔斯基,逻辑学,0,百度网盘(提取码:6666),https://share.weiyun.com/5A9wsO1
有毒的逻辑：为何有说服力的话反而不可信,罗伯特·J·古拉,逻辑学,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1CeV0FEDUIO7rwJN2ilBoYQ
一眼识破真相的思考力,丹尼尔·列维汀,逻辑学,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1cVB_1kCuOvQ9dqyimbtzJw
别拿相关当因果！因果关系简易入门,萨曼莎·克莱因伯格,逻辑学,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1vdHdtA6t1zIWuqqhCWKdag
魔鬼逻辑学,赵传武,逻辑学,5.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1QYBISJyTnZhK2mJuiLkrYA
逻辑思考的艺术：为什么我们越想得到的越得不到,利昂,逻辑学,5.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1EGYLevuu3VbU21_zPt7oyw
128种你不能不知的逻辑错误,江南小隐,逻辑学,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1hLxEMA3XL9SB9HikUDZQzg
批判性思维教程,谷振诣,逻辑学,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1TvdZVHoqk_8HfIP-yapLYA
博弈三国,吴闲云,逻辑学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1b5qPgyh61JLkMZP0x_jIUA
世上最经典的365道逻辑思维名题,周建武,逻辑学,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1MvVJ0PPhfiTDGxxKG12UKQ
系统化维导论,杰拉尔德·温伯格,逻辑学,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1sV03TKuNQOPhG7cDmE5wWQ
丰田一页纸极简思考法,浅田卓,逻辑学,5.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1NiEupYpjxXKYdU7D4E_2fQ
隐性逻辑：教你快速切换思考方式,卡尔·诺顿,逻辑学,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7O3irS
一本小小的蓝色逻辑书,布兰登•罗伊尔著,逻辑学,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1gflJ9SZ
提问的力量,弗兰克·赛斯诺,逻辑学,5.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1bLv2n4E9JZkcFctNYBrJAg
超越感觉：批判性思考指南,文森特•鲁吉罗,逻辑学,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/14B4cykV04nJ6NII7JluF3w
神逻辑：不讲道理的人怎么总有理,阿里·阿莫萨维,逻辑学,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1yU_3VlwTD639VJnK7BqMEA
论证是一门学问：如何让你的观点有说服力,安东尼 韦斯顿,逻辑学,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1nEfgOeM3OrpnhEIquOsGyw
高手玩数独 ,乐活编辑部,逻辑学,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1rbmbIsTQEg4HbUS9UtJdyA
全世界聪明人都爱玩的逻辑思维游戏,任伟峰,逻辑学,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1mhD1FYg
逻辑十九讲,威廉姆·沃克·阿特金森,逻辑学,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cMPjo6
哈佛给学生做的800个思维游戏大全集,雅瑟,逻辑学,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYKuAS0
谁是谷歌想要的人才？破解世界最顶尖公司的面试密码,威廉•庞德斯通,逻辑学,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFomh6T
逻辑哲学论,维特根斯坦,逻辑学,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1jo9khi1be5oPNeruHEakMg
证明与反驳：数学发现的逻辑,拉卡托斯,逻辑学,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bpFtZR5
批判性思维工具,理查德·保罗,逻辑学,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/15glTcul1BiyLBlZtsZwaaw
策略思维：商界、政界及日常生活中的策略竞争,阿维纳什・K・迪克西特,逻辑学,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/12GJ_uF_UA_RaT68qRdhxxg
批判性思维：带你走出思维的误区,布鲁克.诺埃尔.摩尔,逻辑学,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1iSqXKeh1Eeagzp5pud3jsg
简明逻辑学,格雷厄姆·普里斯特,逻辑学,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skMaNvv
