书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
青春奇妙物语,两色风景,青春_成长,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/11SPFEyfoo3D33GaajZrMag
冷眼观爱,冷爱,青春_成长,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1VkgkJiCguzSyVFUhvggutQ
少年的你，如此美丽,玖月晞,青春_成长,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1o4mR7qzLpy-3rjdurxU7Dw
只想和你好好的,东奔西顾,青春_成长,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1iX8Ps5kkvNdkN76jKm4obA
只想和你好好的,东奔西顾,青春_成长,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1iX8Ps5kkvNdkN76jKm4obA
何处风景如画,林笛儿,青春_成长,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1wUhy5x0pZH1CaRVesBZlSg
听你的,张皓宸,青春_成长,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1kqItBtkFK5x0TvfFrKqWHA
青春大丈夫,吴主任,青春_成长,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1L3H6Ep53l26vuDZgZeA6bA
大学第一年：献给所有的大一新生,肖恩·赫夫龙,青春_成长,6.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1pVy5soxtnI-LIgbiWBcwuQ
大学的精神,蒲实,青春_成长,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1Q3LjkXrn1eeEDUGcgwZazQ
东宫,匪我思存,青春_成长,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1mmKSUIS2rtDDOd4MdakF9g
是你路过我的倾城时光-,微酸袅袅,青春_成长,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1bFSD_gu7w7FYZhlH853c9g
你的努力，终将成就无可替代的自己,汤木,青春_成长,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1F8za5EWBQylnbsvu5MhSyw
打火机与公主裙·长明灯,Twentine,青春_成长,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1UYJkxDcHETgf0FPICOiAAg
